회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
BGF,027410,화학,3556,95716791,3715,4.57,,0.21,3.23,38.11,0,118,1502,379,360,4.26,14.36,365.88,1571.03,685,7.73,2.08,16.06,4350,612,262,1.5,11.6,390.62,1574.69,247,17.45,2.56,44.58,4432,705,691,4.81,14.24,281.68,1639.35,813,4.69,3.15,14.76,4680,850,680,,,,,648,5.74,,,992,115,125,2.74,12.03,413.62,1576.95,133,9.66,,,1114,191,183,3.01,12.57,383.8,1606.49,296,7.62,,,1092,239,238,3.43,14.37,276.02,1630.99,245,5.93,,,1234,161,145,4.81,14.24,281.68,1639.35,138,4.69,3.15,86.66,1330,220,,,,,,198,18.84,,
코윈테크,282880,기계,2607,11141807,23400,20.93,,1.56,1.04,21.69,0,116,1063,66,74,5.47,57.7,192.44,2253.57,540,54.53,0.31,16.45,2012,148,76,2.24,79.81,163.81,2706.06,254,87.95,0.42,35.99,3360,228,224,8.07,68.67,190.7,3022.06,1118,25.09,0.87,22.27,4204,374,308,9.06,,,,1430,16.36,,,694,72,84,3.81,79.37,122.32,2706.5,474,66.86,,,957,126,31,5.78,79.56,142.72,2754.27,295,51.37,,,812,48,60,4.57,49.15,178.82,3033.73,26,58.33,,,897,-19,50,8.07,68.67,190.7,3022.06,329,25.09,0.87,73.1,909,64,53,,,,,263,89.07,,
한국컴퓨터,054040,디스플레이장비및부품,1040,16071290,6470,4.79,,0.64,4.64,91.73,0,113,1945,138,152,13.99,24.9,187.55,1378.56,945,5.43,3.51,18.13,4237,188,168,13.85,23.3,198.7,1554.5,1043,3.93,6.1,22.24,3717,238,217,16.12,22.1,244.32,1768.58,1350,3.91,5.68,19.55,4130,278,230,16.49,,,,1571,4.12,,,739,20,25,13.69,20.13,210.75,1540.49,158,4.2,,,1126,41,43,14.89,30.87,166.37,1589.15,268,3.68,,,958,97,88,13.75,15.83,304.51,1691.06,550,4.7,,,895,80,60,16.12,22.1,244.32,1768.58,374,3.91,5.68,70.52,,,,,,,,,,,
태광,023160,기계,3254,26500000,12280,5.91,,0.6,1.38,21.69,0,110,1851,135,185,3.55,11.5,371.24,3288.01,574,18.89,0.92,17,2497,454,368,7.81,13.31,289.48,3619.73,1350,11.93,1.06,12.29,3121,577,581,10.92,8.85,391.69,3989.84,2078,7.09,1.15,7.98,3303,606,585,9.25,,,,1921,6.39,,,839,199,209,10.14,11.7,335.06,3733.52,732,9.45,,,822,181,176,10.86,11.03,350.37,3862.37,643,9.32,,,746,122,116,11.08,9.83,341.2,3948.87,434,8.63,,,713,75,81,10.92,8.85,391.69,3989.84,270,7.09,1.15,61.4,,,,,,,,,,,
이노메트리,302430,전기제품,1173,9833208,11930,15.03,,1.82,,53.56,0,110,465,25,39,7.68,25.91,144.67,987.6,395,39.12,,,757,38,27,4.91,43.52,130.91,1042.21,273,47.06,,,838,82,78,13.03,35.02,121.35,1202.23,794,14.22,,,1100,133,114,16.35,,,,1159,10.29,,,150,2,8,5.59,38.46,104.06,1059.04,84,51.25,,,192,13,12,10.25,47.06,122.87,1083.8,118,26.97,,,203,27,33,11.16,44.18,104.88,1150.33,333,22.4,,,292,40,26,13.03,35.02,121.35,1202.23,260,14.22,,,,,,,,,,,,,
삼아제약,009300,제약,1019,6370000,16000,4.77,,0.49,4.69,101.13,20,127,547,60,34,2,9.97,500.29,2578.48,532,36.34,1.29,44.99,817,183,119,6.76,12.5,470.43,2743.6,1870,8.9,2.4,20.5,972,235,214,11.22,15.38,456.53,3039.51,3355,4.89,4.57,21.42,,,,,,,,,,,,247,79,68,8.63,12.36,481.13,2812.04,1068,6.46,,,250,68,55,11.16,12.45,496.49,2899.02,870,5.61,,,221,42,41,10.9,12.06,522.83,2963.05,640,5.1,,,254,46,50,11.22,15.38,456.53,3039.51,778,4.89,4.57,92.4,,,,,,,,,,,
에스엘,005850,자동차부품,15374,46448520,33100,4.58,4.54,0.79,2.72,8.43,0,105,30011,1105,962,6.63,69.08,120.29,6207.21,2001,15.59,1.6,23.88,41745,1979,1659,9.87,71.84,117.83,7037.94,3290,6.98,2.61,17.86,48388,3862,3493,18.83,61.05,133.96,8310.37,7223,4.94,2.52,12.35,53119,4190,3521,16.32,,,,7288,4.54,,,12108,1041,942,12.63,71.66,130.97,7282.17,1941,6.36,,,12544,1339,1092,14.55,65.03,133.42,7766.27,2241,6.85,,,11828,828,637,15.36,61.38,129.63,8086.35,1314,5.56,,,11908,654,821,18.83,61.05,133.96,8310.37,1727,4.94,2.52,51.68,11967,964,822,,,,,2014,16.43,,
에스티팜,237690,제약,18271,18933904,96500,92.7,55.56,4.72,0.52,101.13,32,137,1656,56,34,1.07,52.92,291.62,3310.2,178,784.24,0.36,283.94,2493,179,175,5.45,67.3,86.83,3430.74,957,91.54,0.57,52.25,2850,335,175,5.42,74.57,271.83,3845.76,1041,65.13,0.74,48.03,3257,458,309,8.29,,,,1737,55.54,,,506,37,29,6.13,70.74,68.95,3279.01,201,70.01,,,578,16,12,5.41,63.19,53.75,3385.58,71,81.21,,,559,67,34,3.25,71.16,110.4,3774.87,209,124.48,,,1206,215,101,5.42,74.57,271.83,3845.76,560,65.13,0.74,89.31,553,39,22,,,,,263,325.97,,
대한전선,001440,전기장비,24387,186447300,13080,25.65,,1.92,,23.42,1,105,19977,395,289,7.78,266.43,73.65,54.63,267,55.51,,,24505,482,218,3.32,83.66,130.41,806.76,160,85.14,,,28440,798,719,7.83,97.06,113.34,861.8,510,17.94,,,31390,1110,790,6.27,,,,435,30.07,,,7039,177,88,2.31,96.03,125.38,813.7,63,93.59,,,7544,240,133,4.8,92.74,134.07,823.99,93,43,,,6300,174,122,5.23,89.45,134.58,833.77,86,33.51,,,7556,207,375,7.83,97.06,113.34,861.8,269,17.94,,,7590,250,,,,,,,,,
애경산업,018250,화장품,5599,26409935,21200,11.48,,1.41,2.74,50.3,0,103,5739,244,157,4.63,24.63,242,1231.34,595,31.91,1.05,33.33,6104,390,167,4.7,34.45,167.42,1293.45,627,33.34,1.48,49.07,6689,619,486,13.08,24.44,204.86,1440.14,1846,10.09,3.11,30.58,7432,724,561,13.85,,,,2117,10.02,,,1571,154,164,7.5,31.66,184.89,1324.59,619,18.04,,,1621,166,121,9.67,34.78,165.74,1370.6,460,18.32,,,1739,184,128,9.34,32.93,176.99,1419.16,486,16.06,,,1758,116,74,13.08,24.44,204.86,1440.14,281,10.09,3.11,200.76,1727,174,,,,,,545,38.88,,
