회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
현대해상,001450,손해보험,27222,89400000,30450,3.95,2.4,0.29,6.45,4.93,10,150,177102,2868,3319,7.12,923.88,,10749.35,3712,6.13,4.4,23.93,188422,6393,4326,8.82,954.67,,11255.03,4839,4.74,6.45,26.83,203844,8080,5746,12.44,1135.81,,9506,6427,4.58,6.67,26.82,,14780,11326,,,,,12669,2.43,,,57286,1930,1340,11.85,1184.1,,9391.16,1498,4.81,,,43732,992,722,12.44,1135.81,,9506,808,4.58,,,41638,3082,2318,10.51,449.21,,17578.67,2593,4.63,,,39276,3463,2507,10.97,423.97,,18351.38,2804,4.03,,,,,,,,,,,,,
두산밥캣,241560,기계,42155,100249166,42050,4.26,4.68,0.72,3.21,17.61,11,147,42821,3939,2475,6.15,70.86,117.69,9146.38,2468,12.01,,,58162,5953,3859,9.19,98.57,98.7,9238.4,3849,10.59,2.94,31.17,86219,10716,6441,13.78,84.07,69.58,10254.75,6425,5.39,3.9,21.01,99318,14078,8989,16.84,,,,8978,4.66,,,23839,2508,2841,13.58,84.07,69.58,10254.75,2834,5.47,,,24051,3697,2075,15.2,86.02,76.93,10498.45,2070,5.91,,,26356,4609,3048,17.53,81.46,88.69,11041.67,3041,6.48,,,23451,2941,1869,17.93,78.73,85.49,11230.74,1865,5.2,,,24711,2744,1800,,,,,1910,21.88,,
세아제강,306200,철강,3718,2836300,131100,2.17,2.07,0.38,4.58,15.58,0,128,11505,536,331,5.67,76.74,118.37,4114.97,11656,7.76,2.76,21.17,14974,1319,914,14.34,80.73,110.84,4709.69,32223,2.97,3.66,10.72,18018,2152,1593,21.12,76.73,129.17,5763.24,56163,2.31,4.63,10.55,18460,2352,1794,19.71,,,,63260,2.02,,,4253,374,223,21.12,76.73,129.17,5763.24,7848,2.31,,,4902,785,620,22.07,78,109.25,6080.72,21868,2.11,,,5099,681,513,20.21,74.74,115.87,6440.21,18074,2.64,,,4234,409,328,19.1,59.98,114.71,6668.54,11569,2.33,,,4275,464,318,,,,,11224,11.4,,
에스엘,005850,자동차부품,15514,46448520,33400,6.23,4.99,0.85,1.8,10.23,0,127,25050,932,642,4.74,64.12,123.62,5940.88,1362,11.93,3.08,35.06,30011,1105,962,6.63,69.08,120.29,6207.21,2001,15.59,1.6,23.88,41745,1979,1659,9.87,71.84,117.83,7037.94,3290,6.98,2.61,17.86,49833,4085,3284,17.54,,,,6696,4.87,,,10714,485,437,7.92,75.63,101.31,7006.25,809,12.15,,,12424,300,208,9.87,71.84,117.83,7037.94,369,6.98,,,12108,1041,942,12.63,71.66,130.97,7282.17,1941,6.36,,,12544,1339,1092,14.55,65.03,133.42,7766.27,2241,6.85,,,11767,805,505,,,,,1252,23.37,,
하이록코리아,013030,기계,3471,12856050,27000,7.76,7.57,0.86,2.22,17.61,0,127,1382,162,65,1.57,9.6,945.7,4895.39,388,34.67,3.72,121.71,1467,189,195,5.77,9.11,1000.44,5101.79,1430,11.71,2.98,33.01,1829,407,344,9.38,8.37,820.26,5578.19,2487,8.24,2.93,22.78,1952,510,471,11.67,,,,3565,7.32,,,540,148,72,9.38,8.37,820.26,5578.19,514,8.24,,,457,112,125,11.44,12.2,674.74,5402.46,945,7.56,,,496,154,137,12.01,9.65,846.44,5616.06,1062,7.83,,,466,141,128,11.78,8.28,919.23,5825.64,975,7.84,,,494,124,154,,,,,,,,
기아,000270,자동차,336109,402044203,83600,3.67,3.58,0.73,4.19,4.43,10,133,591681,20665,14876,5.05,102.37,82.27,1350.39,3670,17,1.6,26.95,698624,50657,47603,14.69,91.48,95.75,1561.65,11744,7,3.65,25.27,865590,72331,54090,14.57,87.35,75.87,1778.98,13345,4.44,5.9,25.94,1014143,120977,93876,21.92,,,,23338,3.62,,,231642,26243,20365,14.57,87.35,75.87,1778.98,5025,4.44,,,236907,28740,21198,17.35,93.88,79.51,1807.25,5229,5.05,,,262442,34030,28169,18.38,82.58,84.21,1930.3,6986,4.82,,,255454,28651,22210,21.7,80.05,90.83,2036.03,5523,3.58,,,261314,29799,21262,,,,,5769,14.63,,
현대차,005380,자동차,389641,211531506,184200,4.43,4.06,0.52,3.8,4.43,20,141,1039976,23947,19246,2.04,174.22,44.87,4909.48,5144,37.33,1.56,55.15,1176106,66789,56931,6.84,183.17,45.68,5187.27,17846,11.71,2.39,26.32,1425275,98198,79836,9.36,181.36,51.97,5654.49,26592,5.68,4.64,24.85,1626597,153728,130386,14.2,,,,45333,4.05,,,385236,33592,17099,9.36,181.36,51.97,5654.49,6154,5.68,,,377787,35927,34194,11.3,181.48,53.7,5744.9,12034,5.61,,,422497,42379,33468,11.26,178.48,53.58,5955.3,11799,5.98,,,410027,38218,33035,12.99,175.79,54.66,6144.45,11634,4.6,,,420416,38477,28952,,,,,10889,16.86,,
세아제강지주,003030,철강,7989,4141657,192900,2.3,,0.44,1.17,15.58,0,121,23064,671,338,1.76,74.01,94.3,4373.8,4124,10.8,3.37,35.48,28417,2990,2267,16.14,82.71,86.01,5228.14,42486,2.42,1.7,4.02,39538,5672,3763,20.56,80.34,104.25,6539.36,67213,2.18,1.54,3.27,38190,6620,4720,20.91,,,,84507,2.23,,,10043,1730,1305,20.18,79.28,86.77,6353.76,23302,2.27,,,9991,1347,519,20.56,80.34,104.25,6539.36,9093,2.18,,,10413,2115,1563,22.73,79.59,108.12,7030.65,26784,1.81,,,10155,1930,1330,22.07,77.96,121.23,7523.59,24681,2.47,,,8750,1310,,,,,,,,,
휴스틸,005010,철강,2804,56188075,4990,1.17,,0.29,7.01,15.58,20,140,3656,177,86,2.13,45.76,107.6,857.12,206,6.44,2.74,15.42,6165,632,380,7.3,51.97,98.95,932.9,897,2.95,5.49,16.51,10309,2892,2272,29.59,32.69,225.7,1150.81,5193,0.98,6.9,8.66,,,,,,,,,,,,2764,678,557,22.35,49.29,162.73,1252.38,1291,1.68,,,3164,1229,1013,29.59,32.69,225.7,1150.81,2222,0.98,,,2476,684,489,32.5,37.18,211.83,1204.83,870,1.24,,,1984,336,65,25.51,34.59,198.75,1217.79,116,1.44,,,,,,,,,,,,,
파마리서치,214450,건강관리장비와용품,11571,10312470,112200,20.44,14.35,2.94,0.59,-393.59,0,114,1087,334,325,14.42,20.96,175.88,5026.43,3287,17.4,0.87,15.07,1541,525,468,16.95,30.24,159,6060.78,4628,17.72,0.73,12.82,1948,659,434,12.5,28.63,330.8,6891.74,4013,17.42,0.94,16.23,2599,962,798,20.72,,,,7818,14.81,,,462,165,166,14.98,28.73,134.41,6669.94,1723,12.31,,,536,168,72,12.5,28.63,330.8,6891.74,372,17.42,,,554,207,183,14.72,27.88,296.2,7131.36,1751,14.5,,,668,236,152,15.76,21.25,287.87,7616.92,1641,26.18,,,648,243,213,,,,,1902,63.99,,
영원무역홀딩스,009970,섬유/의류/신발/호화품,10595,13635592,77700,2.29,,0.4,3.93,7.9,4,116,28510,3408,2345,7.64,42.62,244.08,18667.24,7690,4.91,3.18,13.28,32405,5705,4468,14.72,37.1,319.35,21701.46,16192,2.89,4.28,10.51,45339,10022,8981,23.98,37.71,263.22,27827.09,32330,1.9,4.97,8.03,44609,9206,7370,16.79,,,,27722,2.81,,,12255,2963,2843,21.43,42.03,251.94,25903.54,10233,1.81,,,13704,2957,2583,23.98,37.71,263.22,27827.09,9618,1.9,,,10120,2129,1863,24.25,43.25,216.59,28728.46,7103,1.86,,,11185,2383,1846,22.65,35.14,297.75,30116.7,6941,2.28,,,,,,,,,,,,,
