회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
미원에스씨,268280,화학,7140,5100000,140000,11.01,,1.85,1.64,26.02,37,48,3720,492,347,13.58,25.28,349.16,10034.09,6726,15.54,1.63,24.84,5313,950,799,27.2,34.18,177.22,12724.85,15667,13.95,0.96,13.2,6116,809,648,18.38,25.57,205.9,14839.75,12711,12.12,1.49,17.77,,,,,,,,,,,,1605,216,193,27.13,37.21,138.81,13190.53,3782,12.26,,,1759,277,228,25.93,33.45,152.81,14105.76,4472,12.09,,,1384,213,230,23.29,27.86,185.81,14806.81,4506,11.55,,,1369,103,-15,18.01,25.57,205.9,14839.75,-304,12.36,,,,,,,,,,,,,
엠에스오토텍,123040,자동차부품,2541,43807767,5800,5.83,,1.37,0.86,12.59,50,61,12165,268,-1460,-87.38,332.33,46.25,22.24,-2693,-3.3,0.56,-1.88,15218,513,202,-8.8,277.18,63.1,403.02,-231,-24.08,,,20251,1491,1130,26.85,233.88,70.42,607.85,995,4.22,1.19,5.02,,,,,,,,,,,,4356,232,182,2.25,276.8,63.47,427.97,125,97.46,,,4554,255,303,-6.08,247.47,52.1,467.94,200,-24.94,,,5688,467,377,7.76,240.55,55.63,533.08,323,17.43,,,5654,537,268,26.85,233.88,70.42,607.85,348,4.22,,,,,,,,,,,,,
환인제약,016580,제약,3008,18600070,16170,12.57,,0.74,1.86,105.99,15,26,1717,284,232,8.21,11.11,421.53,3033.99,1257,13.28,1.8,19.58,1778,313,265,8.7,11.34,487.78,3263.74,1433,12.42,1.69,17.18,1989,298,237,7.36,10.62,386.25,3459.85,1286,13.68,1.7,19.15,2133,217,175,5.13,,,,941,17.19,,,488,97,83,8.07,10.63,453.58,3302.37,448,13.44,,,486,67,55,7.53,8.37,491.06,3359.81,300,12.64,,,494,71,48,7.02,9.45,435.95,3406.73,256,13.84,,,522,63,52,7.36,10.62,386.25,3459.85,283,13.68,,,533,48,,,,,,,,,
샘씨엔에스,252990,반도체와반도체장비,2422,50153846,4830,15.99,,2.1,,8.26,34,45,359,78,60,28.2,90.94,72.44,26.34,151,,,,476,136,119,18.11,50.13,2058.27,330.27,256,27.36,,,501,149,151,13.82,78.88,626.41,392.49,302,13.12,,,,,,,,,,,,,,155,56,55,,47.48,1552.95,324.78,109,22.37,,,117,37,37,15.29,71.14,1910.42,367.66,75,15.85,,,112,31,32,14.63,71.61,2326.43,380.55,64,12.98,,,117,25,27,13.82,78.88,626.41,392.49,53,13.12,,,,,,,,,,,,,
씨케이에이치,900120,제약,269,165850893,162,7.36,,0.07,,99.93,67,78,634,-620,-986,-24.58,2.39,2708.54,5297.36,-892,-0.26,,,1046,45,51,1.41,3.46,489.85,5128.38,46,7.04,,,1014,63,60,1.51,2.15,1139.45,4973.15,50,5.17,,,,,,,,,,,,,,230,10,10,1.63,2.4,880.18,4981.88,8,5.43,,,313,70,65,1.52,2.15,1139.45,4973.15,53,5.13,,,221,21,23,2.29,0.75,3774.32,3912.65,15,2.82,,,120,-68,-67,0.8,0.69,4290.31,3737.67,-42,9.68,,,,,,,,,,,,,
화성밸브,039610,기계,562,10410400,5400,18.88,,0.7,,45.78,50,61,589,18,12,1.68,36.09,311.49,1319.57,119,48.26,,,720,26,24,3.13,35.46,388.6,1390.57,229,24.63,,,855,37,30,,53.4,75.99,1456.63,286,16.36,,,,,,,,,,,,,,179,17,17,4.08,41.58,310.91,1422.89,162,19.42,,,245,5,1,,48.37,123.77,1425.63,14,,,,184,2,2,,51.79,77.68,1429.7,20,,,,247,13,9,,53.4,75.99,1456.63,91,,,,,,,,,,,,,,
쌍용C&E,003410,건축자재,29476,503859595,5850,23.03,19.97,1.84,7.52,21.65,36,46,14708,2502,1382,7.92,96.89,124.5,3389.32,274,24.42,6.59,160.42,16614,2487,1860,11.12,115.33,69.12,3324.22,369,20.89,5.71,118.85,19650,2209,1278,7.87,143.19,36.54,3199.01,254,22.71,7.64,172.96,21425,2394,1477,9.13,,,,293,19.96,,,3762,4,-155,9.31,127.07,56.64,3183.73,-31,27.49,,,4863,520,390,7.28,135.18,52.85,3151.34,77,29.42,,,4747,361,205,4.07,140,38.68,3105.86,41,44.89,,,6277,1322,838,7.87,143.19,36.54,3199.01,166,22.71,,,4657,163,105,,,,,-7,-850.26,,
KT&G,033780,담배,117797,137292497,85800,11.6,12.64,1.07,5.83,11.45,19,29,50553,14732,11716,13.22,26.14,165.56,901.98,8535,9.74,5.78,50.83,52284,13384,9718,10.74,26.37,140.16,960.43,7118,11.1,6.08,58.93,58514,12676,10053,11,31.45,140.05,1012.04,7399,12.37,5.46,57.24,60550,12200,9291,9.85,,,,6778,12.66,,,14026,3330,2634,11,32.52,96.68,920.32,1923,11.45,,,14175,3276,3388,11.6,28.28,147.45,960.77,2473,10.66,,,16246,4056,4631,12.16,29.06,162.5,1012.01,3381,10.23,,,14067,2014,-600,11,31.45,140.05,1012.04,-378,12.37,,,14201,2990,2389,,,,,1712,50.11,,
지아이텍,382480,전기제품,1820,39357140,4625,28.2,,3.24,0.74,70.13,30,40,172,53,42,29.25,69.71,178.9,582.32,144,,,,195,43,43,11.88,22.08,632.46,1224.71,137,33.56,0.48,20.2,396,69,64,11.99,38.38,284.8,1366.5,164,19.29,1.08,20.37,,,,,,,,,,,,71,5,8,,17.81,589.39,1222.71,20,,,,116,22,23,,27.85,409.75,1280.52,58,,,,94,23,33,,29.25,342.96,1364.52,84,,,,116,19,1,11.99,38.38,284.8,1366.5,2,19.29,,,,,,,,,,,,,
타이거일렉,219130,반도체와반도체장비,1481,6314290,23450,41.21,,2.67,,8.26,60,70,436,59,44,9.63,41.23,81.49,1427.83,701,21.41,,,503,23,32,6.33,37.96,107.81,1531.67,500,41.83,,,581,31,36,6.71,31.06,147.67,1656.19,569,35.26,,,545,47,,,,,,,,,,145,17,17,8.21,37.76,125.97,1584.38,264,25.47,,,158,25,29,13.2,35.5,147.67,1675.73,457,13.89,,,143,-6,8,13.03,33.42,150.17,1700.33,123,16.32,,,135,-6,-17,6.71,31.06,147.67,1656.19,-275,35.26,,,,,,,,,,,,,
