회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
에스엘,005850,자동차부품,15862,46448520,34250,4.21,4.2,0.73,2.64,6.33,0,118,30011,1105,962,6.63,69.08,120.29,6207.21,2001,15.59,1.6,23.88,41745,1979,1659,9.87,71.84,117.83,7037.94,3290,6.98,2.61,17.86,48388,3862,3493,18.83,61.05,133.96,8310.37,7223,4.94,2.52,12.35,50598,4810,3892,18.09,,,,8129,4.21,,,11828,828,637,15.36,61.38,129.63,8086.35,1314,5.56,,,11908,654,821,18.83,61.05,133.96,8310.37,1727,4.94,2.52,51.68,12458,1388,1213,19.42,62.76,123.9,8650.07,2507,4.01,,,12984,1478,1237,19.01,58.06,129.38,9143.11,2558,5.5,,,12348,1044,729,,,,,1763,19.42,,
한국타이어앤테크놀로지,161390,자동차부품,48064,123875069,38650,4.14,3.89,0.46,3.35,6.33,0,115,71411,6422,5947,7.57,42.69,166.7,13164.59,4748,8.36,1.76,14.52,83942,7058,7058,8.14,41.75,129.33,14291.55,5572,5.59,2.57,14.14,89396,13279,7288,7.85,32.54,203.47,15248.1,5814,7.81,2.86,22.02,91695,16115,12539,12.25,,,,9987,3.87,,,23401,3964,3003,6.17,34.12,190.32,14998.08,2408,8.55,,,22320,4924,1911,7.85,32.54,203.47,15248.1,1541,7.81,2.86,83.06,21273,3987,3605,10.36,33.86,187.4,15566.99,2874,6.82,,,23179,4200,3231,11.89,31.81,196.75,16076.55,2559,4.82,,,24117,4059,3155,,,,,2393,16.15,,
휴메딕스,200670,제약,3863,11229930,32200,12.18,9.42,1.66,1.52,99.4,0,113,1110,160,101,7.37,52.07,209.2,3043.08,909,26.35,1.67,41.49,1232,260,212,16.09,63.28,140.54,3396.91,2121,13.06,1.8,21.69,1523,373,248,14.72,11.06,517.55,4055.86,2314,14.58,1.56,21.61,1836,508,411,19.34,,,,3658,8.8,,,397,114,72,11.77,13.73,421.14,3976.89,655,19.37,,,367,53,32,14.72,11.06,517.55,4055.86,290,14.58,0.81,88.07,412,106,93,12.87,13,458.63,4170.46,825,13.79,,,459,131,119,16.24,9.87,604.54,4381.78,1056,11.4,0.93,26.08,473,133,96,,,,,857,37.57,,
한국공항,005430,운송인프라,1659,3166355,51200,3.45,,0.43,1.91,6.1,10,123,3455,-9,33,1.16,32.34,424.01,1505.17,1027,42.71,,,4005,26,58,1.84,24.12,387.98,1669.77,1824,22.07,,,5447,340,314,9.14,36.84,266.01,1728.04,9924,4.99,2.02,9.73,6149,505,410,,,,,12949,3.95,,,1474,208,173,9.83,29.27,374.82,1836.06,5474,3.96,,,1529,64,64,9.14,36.84,266.01,1728.04,2012,4.99,2.02,48.01,1499,150,130,13.62,31.8,315.36,1789.3,4111,3.8,,,1500,143,114,13.42,30.83,325.97,1861.58,3602,4.82,,,,,,,,,,,,,
대한전선,001440,전기장비,24723,186447300,11940,21.2,,1.68,,18.94,1,113,19977,395,289,7.78,266.43,73.65,54.63,267,55.51,,,24505,482,218,3.32,83.66,130.41,806.76,160,85.14,,,28440,798,719,7.83,97.06,113.34,861.8,510,17.94,,,35440,1300,920,8.88,,,,505,23.66,,,6300,174,122,5.23,89.45,134.58,833.77,86,33.51,,,7556,207,375,7.83,97.06,113.34,861.8,269,17.94,,,7885,288,211,7.13,79.21,157.56,799.43,141,17.7,,,8643,374,258,8.02,74.16,151.71,812.8,133,26.44,,,9330,310,,,,,,107,111.31,,
애경산업,018250,화장품,4939,26409935,18650,10.55,9.42,1.21,3.1,21.51,0,112,5739,244,157,4.63,24.63,242,1231.34,595,31.91,1.05,33.33,6104,390,167,4.7,34.45,167.42,1293.45,627,33.34,1.48,49.07,6689,619,486,13.08,24.44,204.86,1440.14,1846,10.09,3.11,30.58,7314,690,522,13.04,,,,1985,9.4,,,1739,184,128,9.34,32.93,176.99,1419.16,486,16.06,,,1758,116,74,13.08,24.44,204.86,1440.14,281,10.09,3.11,200.76,1691,165,136,12.31,29.62,185.78,1435.5,515,10.22,,,1736,175,129,12.33,27.59,182.07,1484.06,491,11.73,,,1930,203,159,,,,,606,30.78,,
피에이치에이,043370,자동차부품,2096,21000000,9860,3.3,3.3,0.26,2.51,6.33,1,112,9276,66,376,6.1,48.21,135.94,5943.96,1790,5.64,1.78,9.84,10244,229,283,4.29,45.58,125.6,6229.35,1346,5.23,2.84,14.53,11346,483,615,8.82,36.66,157.99,6733.05,2929,3.4,2.51,8.12,12134,598,635,8.5,,,,3025,3.26,,,2675,109,117,6.92,38.82,154.15,6628.66,559,4.19,,,3212,93,155,8.82,36.66,157.99,6733.05,737,3.4,2.51,32.27,2897,164,196,8.85,36.27,142.39,6871.72,931,3.67,,,2990,138,167,8.62,35.94,157.64,7030.49,794,4.44,,,2905,125,132,,,,,643,15.34,,
하이록코리아,013030,기계,3285,12856050,25600,6.68,,0.76,4.11,22.08,0,109,1467,189,195,5.77,9.11,1000.44,5101.79,1430,11.71,2.98,33.01,1829,407,344,9.38,8.37,820.26,5578.19,2487,8.24,2.93,22.78,1888,519,477,12.13,8.92,876.09,5931.94,3655,7.29,3.94,27.93,1864,588,506,12.33,,,,3936,6.83,,,466,141,128,11.78,8.28,919.23,5825.64,975,7.84,,,469,112,87,12.13,8.92,876.09,5931.94,671,7.29,3.94,153.12,498,154,152,12.9,13.49,537.14,5959.78,1172,6.69,,,461,147,131,12.32,7.8,1036.71,6150.36,1006,7.3,,,,,,,,,,,,,
현대코퍼레이션,011760,무역회사와판매업체,2405,13228966,18340,2.46,2.08,0.33,3.3,13.79,20,129,37825,351,380,11.21,370.57,102.79,762.36,2857,5.88,3.57,19.07,61270,668,787,19.82,319.45,96.31,870.1,5950,2.72,3.7,9.16,65804,993,834,16.56,254.73,81.92,982.38,6326,2.98,3.18,8.61,67780,1202,1154,18.2,,,,8761,2.09,,,16880,268,221,10.67,297.33,109.99,970.78,1681,4.81,,,15748,198,97,16.56,254.73,81.92,982.38,739,2.98,3.18,73.7,16133,280,347,16.98,276.7,85.31,1023.91,2626,2.56,,,17289,365,308,16.99,262.55,88.41,1070.49,2336,3.06,,,17267,298,388,,,,,2272,8.07,,
한국앤컴퍼니,000240,자동차부품,15968,94935240,17000,4.68,,0.37,4.17,6.33,0,109,9633,2283,2000,5.53,9.26,100.86,7779.51,2087,7.52,3.82,28.89,10959,2452,1660,4.37,11.55,107.06,8071.95,1749,7.98,4.66,37.17,10897,2566,1872,4.76,15.54,103.59,8307.13,1972,7.91,4.49,35.41,14632,5009,4570,10.72,,,,4816,3.53,,,2973,988,912,2.71,13.74,93.49,8280.65,961,9.66,,,3185,807,273,4.76,15.54,103.59,8307.13,288,7.91,4.49,242.57,3487,1255,1141,6.7,16.89,100.26,8407.85,1201,5.64,,,3635,1248,1085,8.31,16.24,104.36,8635.48,1143,4.23,1.38,18.34,3745,1253,,,,,,1130,15.04,,
