회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
디아이티,110990,디스플레이장비및부품,2519,18900000,13330,8.71,,1.16,2.85,29.69,0,153,1329,55,93,5.36,43.35,168.77,9516,490,10.91,5.61,59.15,1071,86,132,7.23,13.82,556.93,9930.42,696,26.42,0.98,25.09,1167,241,289,14.5,13.14,671.75,11316.45,1531,8.19,3.03,24.24,1415,376,386,16.73,,,,2042,6.53,,,202,33,47,9.74,12.64,595.87,10024.99,250,20.32,,,307,69,77,13.47,14.29,579.41,10446.28,408,18.88,,,165,32,40,11.96,13.35,613.28,10658.41,212,12.66,,,492,107,125,14.5,13.14,671.75,11316.45,660,8.19,3.03,56.18,365,99,,,,,,524,25.45,,
한국앤컴퍼니,000240,자동차부품,13215,94935240,13920,3.77,,0.3,7.18,6.18,0,135,10959,2452,1660,4.37,11.55,107.06,8071.95,1749,7.98,4.66,37.17,10897,2566,1872,4.76,15.54,103.59,8307.13,1972,7.91,4.49,35.41,13910,4183,3507,8.28,15.35,102.45,8830.19,3694,4.58,5.91,27.01,15414,5235,5120,11,,,,5397,2.58,,,3487,1255,1141,6.7,16.89,100.26,8407.85,1201,5.64,,,3635,1248,1085,8.31,16.24,104.36,8635.48,1143,4.23,1.38,18.34,3814,1373,1207,8.87,13.81,102.83,8847.67,1271,4.38,,,2974,307,75,8.28,15.35,102.45,8830.19,79,4.58,4.67,998.82,,,,,,,,,,,
엠씨넥스,097520,핸드셋,4099,17977732,22800,6.44,7.77,1.03,3.51,-28.51,2,123,11086,107,230,7.56,74.36,77.94,3324.42,1278,21.83,1.79,38.49,9325,182,279,8.83,65.54,78.29,3528.27,1553,19.48,1.98,37.86,10571,444,636,18.28,54.24,105.12,4113.19,3538,5.42,4.17,21.22,12294,584,529,13.37,,,,2936,7.77,,,2878,152,159,10.97,73.48,84.7,3705.47,886,12.82,,,2258,76,184,15.22,61.19,92.12,3791.59,1025,8.14,,,2451,31,25,13,68.12,94.6,3819.72,139,7.69,,,2984,185,267,18.28,54.24,105.12,4113.19,1488,5.42,4.17,50.45,3285,164,152,,,,,768,29.7,,
시프트업,462870,게임엔터테인먼트,27020,58484720,46200,17,13.56,3.53,,20.56,1,119,653,222,204,36.67,12.6,1108.28,8042.63,421,,,,1686,1111,1067,86.44,12.63,1582.3,1684.05,2132,,,,2241,1527,1480,31.3,5.16,1434.56,6398.48,2717,23.34,,,3061,2248,1992,25.24,,,,3408,13.56,,,,,,,,,,,,,,374,259,247,,10.77,1653.43,1918.43,487,,,,580,356,235,,3.69,2223.15,5907.23,406,,,,635,462,595,,5.16,1434.56,6398.48,1020,,,,421,261,240,,,,,411,112.29,,
트루엔,417790,전자장비와기기,990,10999650,9000,6.89,,0.95,2.56,20.99,3,121,388,90,76,16.23,7.8,496.46,5893.32,906,,,,472,114,110,15.6,6.72,581.94,8146.09,1087,10.87,1.69,19.63,536,155,144,15.23,6.44,737.38,9250.89,1306,7.66,2.3,16.76,624,187,170,15.82,,,,1527,5.89,,,92,23,23,,6.76,489.49,8157.97,208,11.17,,,151,39,36,14.04,7.46,623.7,8452.75,330,9.11,,,135,53,46,14.92,5.73,944.5,8873.66,421,7.45,,,158,41,38,15.23,6.44,737.38,9250.89,346,7.66,2.3,63.24,107,27,26,,,,,236,38.08,,
산일전기,062040,전기장비,15679,30445200,51500,16.02,13.49,3.6,0.82,20.49,1,118,1183,130,7,1.73,210.53,51.19,1237.03,164,,,60.96,2145,466,391,47,51.94,111.34,3868.77,8807,,,11.62,3340,1092,837,29.88,13.46,411.13,2480.95,3214,21.35,0.61,15.25,4635,1552,1162,25.74,,,,3817,13.49,,,,,,,,,,,,,,706,233,165,,102.55,106.45,793.41,792,,,,797,278,229,,16.61,308.49,2308.9,792,,,,1084,337,270,,13.46,411.13,2480.95,887,,0.61,47.24,1063,356,288,,,,,947,54.37,,
아바텍,149950,디스플레이장비및부품,1205,15607500,7720,13.54,,0.73,2.59,29.69,20,132,732,-54,-43,-3.11,9.6,149.44,1718.69,-277,-54.19,,,758,22,48,3.44,5.48,599.8,1770.63,308,47.4,0.69,28.87,845,58,89,6.19,6.52,568.17,1860.2,570,13.68,2.56,30.73,1003,107,125,8.21,,,,801,9.64,,,232,38,41,7,6.94,512.55,1804.66,264,19.33,,,248,48,60,9.5,5.86,646.78,1878.69,383,18.07,,,209,7,6,7.62,6.48,600.66,1890.17,41,16.9,,,156,-35,-18,6.19,6.52,568.17,1860.2,-118,13.68,2.56,-148.37,206,7,12,,,,,77,100.41,,
세방전지,004490,자동차부품,8918,14000000,63700,5.26,,0.57,1.73,6.18,0,112,14731,811,427,3.58,34.59,136.88,17611.29,3059,13.84,1.42,18.6,16848,1299,1184,9.29,37.16,167.06,19112.48,8348,6.97,1.2,7.87,20595,1797,1723,12.22,38.88,141.06,21354.71,12101,5.94,1.53,8.55,23808,2646,2498,14.03,,,,15925,4,,,4666,461,430,11.17,43.71,150.43,19604.91,3021,7.69,,,5196,590,566,12.96,48.6,141.42,20379.38,3944,8.54,,,5052,351,410,12.92,43,138.63,20931.37,2861,6.79,,,5681,395,317,12.22,38.88,141.06,21354.71,2275,5.94,1.53,45.49,5308,572,505,,,,,3414,18.66,,
토비스,051360,디스플레이장비및부품,2569,16067058,15990,4.49,,1.01,1.88,29.69,20,131,3282,70,-50,-2.72,109.91,72.98,2146.34,-302,-31.36,1.05,-30.64,4474,257,129,6.26,130.07,57.39,2258.03,710,23.1,0.97,21.2,6238,584,613,26.76,99.64,79.75,2901.89,3565,5.6,1.5,7.91,7480,739,595,20.68,,,,3456,4.63,,,1392,101,122,11.16,126.04,68.6,2371.28,729,13.09,,,1627,160,121,15.51,115.25,71.7,2497.06,704,12.2,,,1631,177,180,19.94,98.89,80.18,2707.57,1091,7.5,,,1589,145,190,26.76,99.64,79.75,2901.89,1042,5.6,1.5,27.1,1585,155,144,,,,,893,17.9,,
영보화학,014440,화학,1058,20000000,5290,4.69,,0.56,6.62,-47.5,20,129,830,50,67,4.26,13.89,295.65,1454.56,334,10.23,1.46,14.58,903,70,60,3.7,9.26,455.55,1501,298,12.62,1.33,16.36,1176,194,226,13.01,10.79,442.22,1676.54,1128,3.16,9.83,30.26,,,,,,,,,,,,263,47,62,7,11.51,379.22,1553.17,310,6.39,,,286,43,47,9.05,11.99,377.07,1598.91,234,4.75,,,287,46,37,10.87,11.03,417.45,1635.38,184,3.75,,,339,58,80,13.01,10.79,442.22,1676.54,401,3.16,9.83,85.18,,,,,,,,,,,
