회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
누리플렉스,040160,소프트웨어,308,12055535,2555,,,0.37,,78.48,156,28,1247,104,5,0.79,93.53,83.68,1291.56,52,91.59,,,1327,20,25,3.63,84.75,117.61,1341.63,244,16.73,1.23,19.22,1293,-82,-44,-5.19,108.23,115.75,1256.66,-344,-8.02,,,,,,,,,,,,,,147,-33,-26,-5.77,75.88,106.39,1290.84,-207,-9.32,,,303,-40,-35,-14.47,108.64,75.65,1235.12,-279,-3.24,,,618,48,36,-15.88,105.98,112.86,1288.44,300,-2.37,,,225,-57,-19,-5.19,108.23,115.75,1256.66,-159,-8.02,,,,,,,,,,,,,
대양금속,009190,철강,597,42359986,1410,,,0.74,,17.06,129,1,2034,152,152,17.39,58.21,185.34,339.88,353,13.84,,,2550,137,93,,129.73,86.5,381.9,194,16.51,,,2010,-25,-386,-36.88,54.54,113.67,284.61,-792,-1.42,,,,,,,,,,,,,,-185,12,-207,-29.51,54.54,113.67,284.61,-411,-1.77,,,527,1,-2,-31.67,59.26,125.26,280.38,-4,-3.57,,,553,29,22,-21.53,56.54,125.13,285.8,42,-3.49,,,543,-4,-22,-19.74,41.34,129.82,279.64,-41,-4.1,,,,,,,,,,,,,
한탑,002680,식품,256,32316799,793,,,0.53,,14.17,182,54,991,3,-47,-9.53,195.31,32.15,-51.52,-161,-7.33,,,948,9,-103,-20.95,194.88,31.51,-121.23,-343,-3.61,,,849,37,-54,-11.37,203.01,32.47,-134.52,-167,-4.28,,,,,,,,,,,,,,201,9,-12,-17.76,179.86,29.2,-108.31,-37,-3.72,,,227,13,-3,-18.37,178.42,25.64,-111.84,-10,-3.07,,,206,10,6,-13.82,172.6,28.21,-107.68,17,-3.47,,,215,5,-44,-11.37,203.01,32.47,-134.52,-136,-4.28,,,,,,,,,,,,,
소프트센,032680,IT서비스,351,105590764,332,,,0.64,,25.68,130,2,925,206,158,32.32,58.24,196.21,194.37,167,5.85,,,734,163,116,17.26,54.74,224.07,254.29,112,5.55,,,611,-14,-100,-18.91,56.84,164.38,212.82,-113,-5.19,,,,,,,,,,,,,,189,-8,-62,-18.91,56.84,164.38,212.82,-60,-5.19,,,102,0,-3,-17.56,53.42,160.97,211.14,-3,-6.9,,,173,-7,1,-8.64,83.73,110.84,210.92,0,-12.09,,,133,1,2,-10.72,81.84,110.21,210.76,0,-7.63,,,,,,,,,,,,,
쓰리에이로직스,177900,통신장비,939,9366800,10030,,,3.44,,-22.59,128,0,415,13,11,4.7,98.72,125.13,1205.99,214,,,,528,5,-10,-3.83,102.35,175.73,1351.13,-183,,,,142,-80,-189,-74.73,145.36,146.07,963.48,-2725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6,1,,124.73,106.15,456.97,18,,,,,,,,,,,,,,
유유제약,000220,제약,755,17032351,4430,10.4,,0.68,2.26,95.65,140,12,1157,12,-9,-1.85,49.97,244.71,471.96,-116,-67.57,1.34,-91.87,1389,-6,-44,-4.97,58.22,79.82,446.49,-302,-20.59,1.69,-33.43,1372,4,-55,-6.27,64.69,110.95,421.97,-364,-14.51,,,,,,,,,,,,,,346,3,-5,-6.27,64.69,110.95,421.97,-55,-14.51,,,334,47,56,-1.82,56.23,132.65,447.49,264,-47.5,,,332,38,20,2.22,54.85,92.59,453.58,63,35.03,,,336,35,33,7.13,52.99,100.64,466.56,155,10.79,,,,,,,,,,,,,
코위버,056360,통신장비,558,9796800,5700,,,0.41,0.53,-15.68,151,22,896,3,45,3.46,28.24,179.63,2628.78,459,15.22,0.72,10.4,834,-26,8,0.61,25.79,187.23,2635.51,82,73.35,0.5,35.11,468,-76,-41,-3.15,19.3,224.47,2546.72,-416,-19.28,0.37,-6.73,,,,,,,,,,,,57,-35,-19,-0.48,15.01,209.97,2590.18,-198,-95.28,,,77,-31,-15,3.04,18.6,193.08,2558.78,-157,13.34,,,105,-9,-3,2.99,18.76,186.06,2552.54,-31,12.37,,,230,-1,-3,-3.15,19.3,224.47,2546.72,-30,-19.28,0.37,-94.41,,,,,,,,,,,
HB테크놀러지,078150,디스플레이장비및부품,2137,92715916,2305,,,0.8,0.87,40.79,135,6,1481,69,272,14.09,49.93,50.99,439.65,344,5.57,1.04,5.52,1116,-221,793,30.65,29.86,70.8,586.63,937,2.56,0.83,2.24,1624,-165,-516,-18.17,35.88,88.05,468.92,-556,-3.5,1.03,-3.44,,,,,,,,,,,,291,-29,230,15.97,31.03,47.88,630.05,248,5.05,,,607,9,-198,10.16,31.69,75.55,587.34,-214,11.19,,,435,-56,-258,2.11,31.38,92.31,531.5,-279,40.24,,,290,-89,-290,-18.17,35.88,88.05,468.92,-312,-3.5,1.03,-6.14,,,,,,,,,,,
서울옥션,063170,판매업체,1170,17774267,6580,,,0.99,,-24.51,130,1,790,197,160,21.05,98.97,58.08,972.31,948,36.06,0.58,19.92,551,77,45,4.3,56.52,88.28,1268.79,256,69.02,0.57,37.07,450,-35,-80,-6.62,68.09,138.74,1206.69,-448,-27.95,,,,,,,,,,,,,,44,-19,-42,-6.62,68.09,138.74,1206.69,-239,-27.95,,,89,19,-2,-4.62,98.76,97.34,1204.47,-11,-32.3,,,52,-3,-15,-6.87,90.36,94.35,1187.49,-83,-16.93,,,27,-23,-33,-7.72,95.27,81.26,1150.9,-183,-14.03,,,,,,,,,,,,,
알엔투테크놀로지,148250,통신장비,622,7679368,8100,,,1.6,0.37,-22.59,149,20,252,18,16,3.85,67.49,59.5,1090.36,211,72.25,0.2,14.53,233,33,-1,,42.46,88.02,1092.76,-16,-610.55,0.31,-185.84,147,-14,-37,-8.99,27.68,174.95,909.75,-495,-9.86,0.62,-6.02,,,,,,,,,,,,38,-7,-10,-9.23,27.68,174.95,909.75,-129,-9.6,0.62,-23.34,41,-3,-2,-10.5,27.7,171.8,899.03,-25,-8.24,,,26,-10,-4,-9.6,25.17,187.27,885.46,-58,-8.08,,,40,-6,-6,-5.66,26.76,191.74,869.93,-80,-13.79,,,,,,,,,,,,,
