회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
JTC,950170,백화점과일반상점,1979,51746348,3825,2.87,,1.05,,-14.52,10,134,358,-150,-143,-27.13,297.51,108.33,-3.95,-367,-12.35,,,1500,219,205,26.4,222.77,127.4,4683.45,408,11.01,,,3086,476,772,57.43,95.64,237.08,13953.98,1501,3.31,,,4206,662,623,29.07,,,,1204,3.18,,,732,78,67,34.9,149.42,194.31,2220.32,129,6.12,,,742,193,535,58.61,95.64,237.08,13953.98,1034,3.24,,,986,115,82,51.92,91.66,221.35,14730.79,159,4.02,,,757,19,9,46.11,89.35,256.76,14809.05,17,5.03,,,,,,,,,,,,,
KCC건설,021320,건설,1166,21400000,5450,2.96,,0.2,,29.81,25,140,18931,-11,44,0.99,165.86,130.04,331.92,207,32.64,2.22,67.41,19096,181,104,2.31,178.14,144.72,327.96,484,10.38,2.59,25.05,18270,646,160,3.34,190.75,131.39,336.04,746,5.37,4,19.99,19520,1010,490,9.24,,,,2290,2.38,,,5448,180,19,3.34,190.75,131.39,336.04,88,5.37,4,169.46,4495,289,136,5.92,216.1,121.02,345.85,634,2.93,,,4872,171,93,7.54,204.84,108.16,354.54,434,3.05,,,4500,307,146,7.88,184.38,115.66,368.19,683,2.75,,,5650,240,120,,,,,561,9.72,,
엠씨넥스,097520,핸드셋,5046,17401500,29000,7.51,8.92,1.26,3.45,-43.44,1,115,11086,107,230,7.56,74.36,77.94,3324.42,1278,21.83,1.79,38.49,9325,182,279,8.83,65.54,78.29,3528.27,1553,19.48,1.98,37.86,10571,444,636,18.28,54.24,105.12,4113.19,3538,5.42,4.17,21.22,12862,593,560,14.37,,,,3125,9.28,,,2984,185,267,18.28,54.24,105.12,4113.19,1488,5.42,4.17,50.45,3479,209,201,19.2,66.8,102.66,4186.48,1116,6.2,,,3264,162,130,17.58,50.99,118.43,4332.57,726,7.81,,,3035,67,95,19.34,58.91,108.26,4438.78,530,7.6,,,3090,146,157,,,,,791,36.64,,
HDC현대산업개발,294870,건설,13775,65907330,20900,7.18,6.09,0.42,3.35,29.81,12,122,32983,1164,502,1.75,152.81,111.79,782.54,764,13.09,6,78.5,41908,1953,1729,5.87,133.25,110.52,819.47,2626,5.56,4.79,25.95,42562,1846,1557,5.09,139.58,100.44,851.21,2363,7.64,3.88,28.85,42263,3070,2264,7.06,,,,3434,6.09,,,11250,418,452,5.09,139.58,100.44,851.21,685,7.64,3.88,99.46,9057,540,542,5.86,148.58,97.24,854.21,822,7.35,,,11632,803,527,5.95,149.35,106.98,870.37,799,8.01,,,10530,730,398,6.11,153.13,105.46,882.52,605,6.99,,,10728,886,630,,,,,995,21.01,,
한국금융지주,071050,증권,91948,55725992,165000,5.72,5.11,0.83,2.41,7.83,10,120,229395,5458,6398,8.45,1020.05,,2334.14,10341,5.15,4.32,21.14,208934,8204,7081,8.81,1035.59,,2520.01,11480,5.34,4.32,21.94,211741,11997,10459,11.54,1021.98,,2807.3,16883,4.22,5.58,22.39,223520,23606,19658,18.99,,,,32273,5.11,,,61648,1552,1073,11.54,1021.98,,2807.3,1723,4.22,5.58,219.33,53638,5296,4593,12.46,1020.36,,2890.09,7444,3.88,,,70338,5856,5403,14.67,1017.17,,3062.25,8755,6.07,,,59882,8491,6749,17.02,954.24,,3281.05,10940,5.02,,,,4234,3386,,,,,5479,30.11,,
오스테오닉,226400,건강관리장비와용품,1314,20661601,6360,20.19,,2,,149.69,5,107,198,25,8,2.32,68.56,142.54,328.96,49,64.98,,,278,48,37,8.28,38.29,209.35,413.5,185,26.09,,,342,69,56,10.16,51.57,207.76,484.56,273,23.77,,,457,108,64,10.31,,,,310,20.53,,,97,23,27,10.16,51.57,207.76,484.56,133,23.77,,,95,15,8,11.28,51.41,184.05,492.99,37,21.31,,,110,27,10,9.96,51.35,186.07,502.26,49,21.96,,,119,22,20,10.76,50.47,182.17,521.51,96,23.74,,,138,36,24,,,,,116,54.75,,
파마리서치,214450,건강관리장비와용품,45091,10389648,434000,33.37,27.09,7.59,,149.69,17,117,1948,659,434,12.5,28.63,330.8,6891.74,4013,17.42,0.94,16.23,2610,923,773,19.71,15.81,257.56,8453.44,7481,14.64,0.87,12.66,3501,1261,889,18.93,50.27,550.24,10283.43,8608,30.49,0.42,14.59,5476,2273,1813,29.74,,,,16022,27.09,,,1031,337,164,18.93,50.27,550.24,10283.43,1612,30.49,0.42,71.84,1169,447,360,22.08,49.73,517.58,10754.34,3096,33,,,1406,559,420,23.25,44.83,626.16,11582.66,4062,44.1,,,1354,619,509,25.83,43.49,590.31,12514.61,4234,46.21,,,1548,643,541,,,,,4560,95.17,,
HDC,012630,건설,10455,59741721,17500,4.15,,0.31,2,29.81,20,120,50449,1585,370,-0.21,139.87,105.49,1406.85,-86,-64.17,4.55,-268.14,59083,3126,2129,4.56,134.42,105.46,1437.65,1892,3.64,4.35,13.75,62003,3447,2603,5.65,143.16,95.88,1478.04,2450,4.86,2.94,11.96,69983,6875,4471,10.16,,,,4713,3.71,,,17200,920,886,5.65,143.16,95.88,1478.04,790,4.86,2.94,37.12,15657,1548,1095,7.31,146.67,93.95,1495.54,1178,4.62,,,18188,1664,978,8.26,145.33,101.53,1515.74,1016,6.34,,,18221,1962,1169,9.19,145.25,107.67,1540.23,1230,4.13,,,17920,1700,1150,,,,,1289,13.58,,
산일전기,062040,전기장비,41953,30445200,137800,31.55,27.75,7.78,,42.52,17,116,1077,122,41,9.8,201.59,49.74,1489.61,963,,,10.43,2145,466,391,46.2,51.94,111.34,3868.77,8807,,,11.62,3340,1092,837,29.88,13.46,411.13,2480.95,3214,21.35,0.61,15.25,5060,1801,1451,29.01,,,,4766,28.91,,,1084,337,270,29.88,13.46,411.13,2480.95,887,21.35,0.61,47.24,988,375,312,33.33,16.51,316.67,2602.38,1026,14.84,,,1283,462,379,,12.89,404.35,2851.13,1244,,,,1327,426,368,,14.24,393.85,3093.08,1210,,,,1511,532,423,,,,,1448,95.13,,
에스앤에스텍,101490,반도체와반도체장비,10945,21334879,51300,26.55,,3.82,,18.12,5,103,1235,160,175,9.57,19.1,247.26,1691.98,814,32.37,0.57,17.89,1503,250,259,12.58,16.29,329.39,1966.23,1205,37.58,0.33,12.2,1760,295,303,13.07,20.33,294.77,2241.69,1421,18.02,0.59,10.25,2432,486,436,16.59,,,,2034,25.22,,,452,40,66,13.07,20.33,294.77,2241.69,311,18.02,0.59,46.83,579,119,119,14.41,22.23,298.74,2270.88,557,19.36,,,607,133,101,14.77,20.63,302.97,2418.26,472,23.34,,,615,119,127,15.89,43.33,230.09,2562.98,592,25.6,,,623,98,92,,,,,430,119.22,,
