회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
제이에스코퍼레이션,194370,섬유/의류/신발/호화품,1947,13679615,14230,1.2,,0.42,6.32,8.88,10,151,9870,610,483,27.4,173.56,54.87,15412.53,3619,5.91,2.8,15.64,9751,815,646,28.26,108.93,72.95,19595.84,4844,2.77,6.34,16.62,8628,840,443,16.16,160.54,126.83,22627.74,3321,5.2,5.21,25.9,10840,1190,1284,36.13,,,,9597,1.48,,,2193,235,6,16.16,160.54,126.83,22627.74,42,5.2,3.19,1248.13,2074,193,109,17.66,158.38,124.75,22913.22,817,4.71,,,2287,261,380,24.73,346.84,62.26,25992.29,2846,3.1,2.24,9.77,3616,428,1132,42.08,273.4,67.28,33900.68,8186,1.21,,,2870,324,,,,,,1153,12.34,,
제룡전기,033100,전기장비,6931,16062409,43150,7.84,,3.72,1.16,18.7,1,133,488,1,12,1.99,30.87,244.98,798.08,73,71.45,0.96,68.44,861,160,125,19.2,24.09,245.95,943.48,777,14.48,1.33,19.31,1839,702,564,57.64,27.14,276.01,1453.99,3510,5.71,2.49,14.24,3115,1202,960,57.01,,,,5977,7.22,,,658,248,189,57.64,27.14,276.01,1453.99,1180,5.71,2.49,42.39,650,258,217,65.81,34.53,247.47,1624.77,1354,9.94,,,776,328,272,63.65,20.52,384.04,1963.61,1694,17.93,,,694,266,204,60.51,18.54,455.77,2218.19,1273,10.82,,,996,351,,,,,,,,,
한국타이어앤테크놀로지,161390,자동차부품,46825,123875069,37800,3.76,3.5,0.43,3.44,6.92,0,130,71411,6422,5947,7.57,42.69,166.7,13164.59,4748,8.36,1.76,14.52,83942,7058,7058,8.14,41.75,129.33,14291.55,5572,5.59,2.57,14.14,89396,13279,7288,7.85,32.54,203.47,15248.1,5814,7.81,2.86,22.02,92127,17262,13658,13.13,,,,10810,3.5,,,22320,4924,1911,7.85,32.54,203.47,15248.1,1541,7.81,2.86,83.06,21273,3987,3605,10.36,33.86,187.4,15566.99,2874,6.82,,,23179,4200,3231,11.89,31.81,196.75,16076.55,2559,4.82,,,24353,4702,3856,12.39,32.28,202.61,16694.03,3088,4.12,,,23362,4516,3215,,,,,2527,14.96,,
현대코퍼레이션,011760,무역회사와판매업체,2541,13228966,19210,2.21,2.08,0.33,3.12,8.86,20,138,37825,351,380,11.21,370.57,102.79,762.36,2857,5.88,3.57,19.07,61270,668,787,19.82,319.45,96.31,870.1,5950,2.72,3.7,9.16,65804,993,834,16.56,254.73,81.92,982.38,6326,2.98,3.18,8.61,68282,1292,1222,18.89,,,,9256,2.08,,,15748,198,97,16.56,254.73,81.92,982.38,739,2.98,3.18,73.7,16133,280,347,16.98,276.7,85.31,1023.91,2626,2.56,,,17289,365,308,16.99,262.55,88.41,1070.49,2336,3.06,,,18070,372,397,19.4,187.65,120.87,1130.45,3001,2.15,,,17076,288,186,,,,,1606,11.96,,
노루홀딩스,000320,건축자재,1713,13291151,12890,3.41,,0.3,3.88,7.27,0,116,9552,267,107,0.43,80.89,124.24,4471.49,118,107.63,3.53,293.73,10317,296,334,6.55,77.35,116.43,4726.77,1849,5.39,5.01,20.98,12146,674,517,6.31,71.35,127.97,4946.25,1881,6.09,4.36,20.61,12280,810,780,10.8,,,,3473,3.71,,,2965,107,98,6.31,71.35,127.97,4946.25,676,6.09,4.36,57.39,2801,166,152,7.88,70.33,120.01,4958.26,484,4.92,,,3458,284,239,9.15,68.93,119.57,5094.16,856,4.56,,,3072,239,318,11.9,61.23,131.89,5375.41,1768,3.52,,,,,,,,,,,,,
SNT홀딩스,036530,자동차부품,3709,16303886,22750,3.23,,0.28,3.52,6.92,0,114,14041,1256,1518,8.56,33.27,256.24,11463.33,4736,3.72,3.98,13.11,16295,1447,1156,5.31,40.86,194.72,12057.69,3153,4.98,4.46,19.69,18957,1790,1643,8.5,38.35,222,13001.03,5357,3.23,4.63,13.24,18420,2330,2120,10.67,,,,7422,3.07,,,5057,463,185,8.5,38.35,222,13001.03,736,3.23,2.89,60.23,3862,363,478,8.23,39.84,219.7,13277.61,1533,4.42,,,4395,875,820,10.11,38.67,215.45,13938.43,2867,3.17,1.4,9.28,4364,447,457,10.24,33.58,220.96,14369.29,1914,3.17,,,,,,,,,,,,,
대한전선,001440,전기장비,21143,186447300,11340,17.18,,1.42,,18.7,0,113,19977,395,289,7.78,266.43,73.65,54.63,267,55.51,,,24505,482,218,3.32,83.66,130.41,806.76,160,85.14,,,28440,798,719,7.83,97.06,113.34,861.8,510,17.94,,,33380,1210,840,8.19,,,,464,24.44,,,7556,207,375,7.83,97.06,113.34,861.8,269,17.94,,,7885,288,211,7.13,79.21,157.56,799.43,141,17.7,,,8643,374,258,8.02,74.16,151.71,812.8,133,26.44,,,8044,272,257,8.95,56.44,181.9,736.33,129,18.23,,,8810,270,,,,,,,,,
하이록코리아,013030,기계,3166,12295442,25750,7.26,,0.75,4.08,28.71,0,112,1467,189,195,5.77,9.11,1000.44,5101.79,1430,11.71,2.98,33.01,1829,407,344,9.38,8.37,820.26,5578.19,2487,8.24,2.93,22.78,1888,519,477,12.13,8.92,876.09,5931.94,3655,7.29,3.94,27.93,1872,558,462,10.92,,,,3565,7.22,,,469,112,87,12.13,8.92,876.09,5931.94,671,7.29,3.94,153.12,498,154,152,12.9,13.49,537.14,5959.78,1172,6.69,,,461,147,131,12.32,7.8,1036.71,6150.36,1006,7.3,,,453,137,92,11.12,7.02,1321.01,6270.79,696,7.08,,,482,120,94,,,,,686,37.56,,
아이패밀리에스씨,114840,화장품,3245,17241944,18820,10.46,,3.63,0.42,18.57,1,112,716,56,36,12.88,27.55,339.76,1705.51,265,16.72,0.37,7.35,853,95,76,16.66,44.08,273.02,1006.66,453,13.74,0.51,7.01,1487,240,200,,30.2,379.3,1442.28,1166,11.28,0.6,6.8,2103,382,323,37.75,,,,1876,10.03,,,420,76,70,,30.2,379.3,1442.28,407,,0.6,19.42,574,118,97,,53.25,208.05,767.89,565,,,,490,70,66,,56.35,93.01,844.83,385,20.97,,,501,91,76,40.82,39.45,61.51,933.32,443,14.15,,,536,102,83,,,,,522,36.05,,
코윈테크,282880,기계,1495,11141807,13420,8.04,,0.84,1.49,28.71,0,111,1063,66,74,5.47,57.7,192.44,2253.57,540,54.53,0.31,16.45,2012,148,76,2.24,79.81,163.81,2706.06,254,87.95,0.42,35.99,3360,228,224,8.07,68.67,190.7,3021.37,1118,25.09,0.87,22.27,2973,239,221,11.21,,,,1736,7.73,,,897,-19,50,8.07,68.67,190.7,3021.37,329,25.09,0.87,73.1,534,-5,28,5.84,68.72,178.23,2920.04,162,32.87,,,694,92,92,10.39,57.6,201.27,3094.28,934,12.82,,,877,80,40,10.9,62.2,195.4,3129.06,242,9.1,,,867,72,61,,,,,395,33.98,,
