회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
현대해상,001450,손해보험,27535,89400000,30800,3.75,2.66,0.36,6.38,4.65,10,144,177102,2868,3319,7.12,923.88,,10749.35,3712,6.13,4.4,23.93,188422,6393,4326,8.82,954.67,,11255.03,4839,4.74,6.45,26.83,203844,8080,5746,12.44,1135.81,,9506,6427,4.58,6.67,26.82,,13280,,,,,,11596,2.66,,,43732,992,722,12.44,1135.81,,9506,808,4.58,6.67,213.28,41845,2861,2136,11.38,556.56,,14716.38,2389,4.77,,,39251,2609,1879,10.78,521.62,,15477.36,2102,4.57,,,39863,3591,2612,13.53,526.03,,15021.31,2921,3.95,,,,2619,,,,,,2145,14.36,,
하이록코리아,013030,기계,3548,12856050,27600,7.94,,0.88,2.17,21.08,0,132,1382,162,65,1.57,9.6,945.7,4895.39,388,34.67,3.72,121.71,1467,189,195,5.77,9.11,1000.44,5101.79,1430,11.71,2.98,33.01,1829,407,344,9.38,8.37,820.26,5578.19,2487,8.24,2.93,22.78,1940,520,491,12.32,,,,3784,7.29,,,540,148,72,9.38,8.37,820.26,5578.19,514,8.24,2.93,110.23,457,112,125,11.44,12.2,674.74,5402.46,945,7.56,,,496,154,137,12.01,9.65,846.44,5616.06,1062,7.83,,,466,141,128,11.78,8.28,919.23,5825.64,975,7.84,,,477,138,154,,,,,,,,
두산밥캣,241560,기계,49473,100249166,49350,5,5.57,0.84,2.74,21.08,11,141,42821,3939,2475,6.15,70.86,117.69,9146.38,2468,12.01,,,58162,5953,3859,9.19,98.57,98.7,9238.4,3849,10.59,2.94,31.17,86219,10716,6441,13.78,84.07,69.58,10254.75,6425,5.39,3.9,21.01,98909,13971,8880,16.41,,,,8865,5.57,,,23839,2508,2841,13.58,84.07,69.58,10254.75,2834,5.47,2.17,26.46,24051,3697,2075,15.2,86.02,76.93,10498.45,2070,5.91,,,26356,4609,3048,17.53,81.46,88.69,11041.67,3041,6.48,1.36,26.02,23451,2941,1869,17.93,78.73,85.49,11230.74,1865,5.2,,,24485,2609,1843,,,,,1820,27.11,,
에스엘,005850,자동차부품,16489,46448520,35500,6.05,5.24,0.86,1.69,9.86,0,123,25050,932,642,4.74,64.12,123.62,5940.88,1362,11.93,3.08,35.06,30011,1105,962,6.63,69.08,120.29,6207.21,2001,15.59,1.6,23.88,41745,1979,1659,9.87,71.84,117.83,7037.94,3290,6.98,2.61,17.86,49486,4040,3303,,,,,6770,5.24,,,12424,300,208,9.87,71.84,117.83,7037.94,369,6.98,2.61,161.22,12108,1041,942,12.63,71.66,130.97,7282.17,1941,6.36,,,12544,1339,1092,14.55,65.03,133.42,7766.27,2241,6.85,,,11828,828,637,15.36,61.38,129.63,8086.35,1314,5.56,,,13005,832,430,,,,,1276,27.82,,
세아제강,306200,철강,3988,2836300,140600,2.37,2.22,0.41,4.27,18.69,0,123,11505,536,331,5.67,76.74,118.37,4114.97,11656,7.76,2.76,21.17,14974,1319,914,14.34,80.73,110.84,4709.69,32223,2.97,3.66,10.72,18018,2152,1593,21.12,76.73,129.17,5763.24,56163,2.31,4.63,10.55,18511,2340,1778,19.56,,,,62723,2.24,,,4253,374,223,21.12,76.73,129.17,5763.24,7848,2.31,4.63,75.47,4902,785,620,22.07,78,109.25,6080.72,21868,2.11,,,5099,681,513,20.21,74.74,115.87,6440.21,18074,2.64,,,4234,409,328,19.1,59.98,114.71,6668.54,11569,2.33,,,4275,464,318,,,,,11224,12.53,,
휴스틸,005010,철강,2843,56188075,5060,1.33,,0.27,6.92,18.69,20,140,3656,177,86,2.13,45.76,107.6,857.12,206,6.44,2.74,15.42,6165,632,380,7.3,51.97,98.95,932.9,897,2.95,5.49,16.51,10309,2892,2272,29.59,32.69,225.7,1150.81,5193,0.98,6.9,8.66,,,,,,,,,,,,3164,1229,1013,29.59,32.69,225.7,1150.81,2222,0.98,6.9,19.42,2476,684,489,32.5,37.18,211.83,1204.83,870,1.24,,,1984,336,65,25.51,34.59,198.75,1217.79,116,1.44,,,1713,490,434,22.14,29.09,210.55,1296.7,773,1.38,,,,,,,,,,,,,
현대차,005380,자동차,420948,211531506,199000,4.79,4.39,0.57,3.52,4.03,21,139,1039976,23947,19246,2.04,174.22,44.87,4909.48,5144,37.33,1.56,55.15,1176106,66789,56931,6.84,183.17,45.68,5187.27,17846,11.71,2.39,26.32,1425275,98198,79836,9.36,181.36,51.97,5654.49,26592,5.68,4.64,24.85,1626343,153723,130264,14.21,,,,45353,4.39,,,385236,33592,17099,9.36,181.36,51.97,5654.49,6154,5.68,3.97,92.27,377787,35927,34194,11.3,181.48,53.7,5744.9,12034,5.61,,,422497,42379,33468,11.26,178.48,53.58,5955.3,11799,5.98,0.73,12.14,410027,38218,33035,12.99,175.79,54.66,6144.45,11634,4.6,0.78,12.32,419035,38316,28832,,,,,10835,18.37,,
태광,023160,기계,3872,26500000,14610,7.01,6.99,0.72,1.16,21.08,10,126,1884,-31,-50,-1.18,8.81,438.91,3195.05,-189,-40.46,0.65,-25.78,1851,135,185,3.55,11.5,371.24,3288.01,574,18.89,0.92,17,2497,454,368,7.81,13.31,289.48,3619.73,1350,11.93,1.06,12.29,3213,667,572,10.99,,,,2089,6.99,,,763,165,72,7.81,13.31,289.48,3619.73,276,11.93,1.06,60.2,839,199,209,10.14,11.7,335.06,3733.52,732,9.45,,,822,181,176,10.86,11.03,350.37,3862.37,643,9.32,,,746,122,116,11.08,9.83,341.2,3948.87,434,8.63,,,808,150,137,,,,,491,29.78,,
DB손해보험,005830,손해보험,57277,70800000,80900,3.76,3.58,0.48,5.69,4.65,10,126,201106,7223,5545,8.98,824.64,,18677.94,7801,5.61,5.03,23.92,208806,11084,8729,13.38,861.78,,19349.04,12281,4.4,6.48,24.17,228608,13331,9880,16.45,1080.9,,15759.18,13885,4.7,7.04,28.1,,21124,,,,,,22629,3.58,,,47259,1861,1315,16.36,1080.9,,15759.18,1845,4.7,7.04,211.42,52171,6246,4861,15.5,479.5,,27118.91,6845,4.47,,,47042,6326,4775,17.49,438.74,,29270.71,6731,3.87,,,52556,5441,4191,19.74,441.36,,29216.81,5911,4.19,,,,4480,,,,,,4798,16.86,,
기아,000270,자동차,384354,402044203,95600,4.2,4.08,0.83,3.66,4.03,11,126,591681,20665,14876,5.05,102.37,82.27,1350.39,3670,17,1.6,26.95,698624,50657,47603,14.69,91.48,95.75,1561.65,11744,7,3.65,25.27,865590,72331,54090,14.57,87.35,75.87,1778.98,13345,4.44,5.9,25.94,1017553,121135,94163,21.99,,,,23432,4.08,,,231642,26243,20365,14.57,87.35,75.87,1778.98,5025,4.44,5.9,68.89,236907,28740,21198,17.35,93.88,79.51,1807.25,5229,5.05,,,262442,34030,28169,18.38,82.58,84.21,1930.3,6986,4.82,,,255454,28651,22210,21.7,80.05,90.83,2036.03,5523,3.58,,,260182,29868,21262,,,,,5844,16.36,,
