회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
링네트,042500,IT서비스,1079,19070134,5660,7.87,,0.93,1.43,29.84,0,113,2148,106,87,12.1,75.33,119.94,1015.64,455,11.86,,,2040,109,101,12.73,92.89,76.76,1149.26,527,6.25,,,2177,163,128,14.25,58.08,135.5,1311.89,671,5.17,2.32,9.68,3050,260,214,20.51,,,,1122,5.04,,,510,15,4,10.26,55.19,161.72,1184.48,19,8.17,,,473,56,40,13.18,58.92,139.4,1236.85,211,5.58,,,667,71,64,14.25,58.08,135.5,1311.89,335,5.17,2.32,19.37,374,28,29,14.98,45.8,117.41,1334.62,154,8.01,,,,,,,,,,,,,
AP위성,211270,통신장비,2238,15082304,14840,14.42,,2.15,0.47,-55.85,0,112,402,8,14,1.74,37.09,293.28,1078.56,93,155.91,0.48,53.17,536,45,41,4.9,28.06,360.4,1128.55,270,37.17,0.7,24.43,494,101,105,11.65,52.04,209.3,1252.98,697,19.51,0.51,9.48,626,134,129,12.61,,,,855,17.35,,,71,3,10,3.24,38.2,262.31,1116.95,68,72.75,,,199,76,73,10.24,38.28,271.96,1212.88,481,24.35,,,194,45,31,11.65,52.04,209.3,1252.98,207,19.51,0.51,31.93,142,36,41,17.07,39.97,236.48,1294.07,273,17.58,,,161,39,38,,,,,252,58.9,,
BGF,027410,화학,3455,95716791,3610,4.6,,0.21,3.32,55.49,0,110,1502,379,360,4.26,14.36,365.88,1571.03,685,7.73,2.08,16.06,4350,612,262,1.5,11.6,390.62,1574.69,247,17.45,2.56,44.58,4432,705,691,4.81,14.24,281.68,1639.35,813,4.69,3.15,14.76,4710,750,740,,,,,679,5.32,,,1114,191,183,3.01,12.57,383.8,1606.49,296,7.62,,,1092,239,238,3.43,14.37,276.02,1630.99,245,5.93,,,1234,161,145,4.81,14.24,281.68,1639.35,138,4.69,3.15,86.66,1185,113,115,4.64,14.85,247.9,1637.85,106,4.76,,,1130,190,,,,,,167,21.6,,
이노메트리,302430,전기제품,1122,9833208,11410,12.34,,1.68,,81.52,0,110,465,25,39,7.68,25.91,144.67,987.6,395,39.12,,,757,38,27,4.91,43.52,130.91,1042.21,273,47.06,,,838,82,78,13.03,35.02,121.35,1202.23,794,14.22,,,1100,133,114,16.35,,,,1159,9.84,,,192,13,12,10.25,47.06,122.87,1083.8,118,26.97,,,203,27,33,11.16,44.18,104.88,1150.33,333,22.4,,,292,40,26,13.03,35.02,121.35,1202.23,260,14.22,,,143,8,21,14.79,28.21,176.09,1245.27,215,14.43,,,,,,,,,,,,,
에스엘,005850,자동차부품,19462,46448520,41900,5.38,5.18,0.95,2.15,7.32,0,107,30011,1105,962,6.63,69.08,120.29,6207.21,2001,15.59,1.6,23.88,41745,1979,1659,9.87,71.84,117.83,7037.94,3290,6.98,2.61,17.86,48388,3862,3493,18.83,61.05,133.96,8310.37,7223,4.94,2.52,12.35,51523,4688,3901,17.94,,,,8082,5.18,,,12544,1339,1092,14.55,65.03,133.42,7766.27,2241,6.85,,,11828,828,637,15.36,61.38,129.63,8086.35,1314,5.56,,,11908,654,821,18.83,61.05,133.96,8310.37,1727,4.94,2.52,51.68,12458,1388,1213,19.42,62.76,123.9,8650.07,2507,4.01,,,13234,1396,1099,,,,,2296,18.25,,
하이록코리아,013030,기계,3497,12856050,27200,7.01,7.07,0.84,3.86,22.9,1,105,1467,189,195,5.77,9.11,1000.44,5101.79,1430,11.71,2.98,33.01,1829,407,344,9.38,8.37,820.26,5578.19,2487,8.24,2.93,22.78,1888,519,477,12.13,8.92,876.09,5931.94,3655,7.29,3.94,27.93,1922,559,498,11.85,,,,3848,7.07,,,496,154,137,12.01,9.65,846.44,5616.06,1062,7.83,,,466,141,128,11.78,8.28,919.23,5825.64,975,7.84,,,469,112,87,12.13,8.92,876.09,5931.94,671,7.29,3.94,153.12,498,154,152,12.9,13.49,537.14,5959.78,1172,6.69,,,507,129,124,,,,,,,,
대한전선,001440,전기장비,28993,186447300,15550,26.45,,2.03,,23.78,1,105,19977,395,289,7.78,266.43,73.65,54.63,267,55.51,,,24505,482,218,3.32,83.66,130.41,806.76,160,85.14,,,28440,798,719,7.83,97.06,113.34,861.8,510,17.94,,,31980,1190,840,8.2,,,,464,33.51,,,7544,240,133,4.8,92.74,134.07,823.99,93,43,,,6300,174,122,5.23,89.45,134.58,833.77,86,33.51,,,7556,207,375,7.83,97.06,113.34,861.8,269,17.94,,,7885,288,211,7.13,79.21,157.56,799.43,141,17.7,,,8080,280,,,,,,,,,
태광,023160,기계,3191,26500000,12040,6.15,5.87,0.58,1.41,22.9,1,105,1851,135,185,3.55,11.5,371.24,3288.01,574,18.89,0.92,17,2497,454,368,7.81,13.31,289.48,3619.73,1350,11.93,1.06,12.29,3121,577,581,10.92,8.85,391.69,3989.84,2078,7.09,1.15,7.98,2890,554,560,9.87,,,,2050,5.87,,,822,181,176,10.86,11.03,350.37,3862.37,643,9.32,,,746,122,116,11.08,9.83,341.2,3948.87,434,8.63,,,713,75,81,10.92,8.85,391.69,3989.84,270,7.09,1.15,61.4,734,129,167,10.02,9.93,366.1,4080.07,611,6.27,,,734,125,,,,,,443,27.15,,
한국타이어앤테크놀로지,161390,자동차부품,56611,123875069,45700,5.75,4.89,0.56,2.84,7.32,0,103,71411,6422,5947,7.57,42.69,166.7,13164.59,4748,8.36,1.76,14.52,83942,7058,7058,8.14,41.75,129.33,14291.55,5572,5.59,2.57,14.14,89396,13279,7288,7.85,32.54,203.47,15248.1,5814,7.81,2.86,22.02,92042,15622,11702,11.51,,,,9344,4.89,,,22635,2482,1415,5.66,34.09,164.74,14516.32,1122,8.46,,,23401,3964,3003,6.17,34.12,190.32,14998.08,2408,8.55,,,22320,4924,1911,7.85,32.54,203.47,15248.1,1541,7.81,2.86,83.06,21273,3987,3605,10.36,33.86,187.4,15566.99,2874,6.82,,,23343,4055,2832,,,,,2436,18.76,,
씨앤씨인터내셔널,352480,화장품,10254,10013941,102400,28.37,22.35,5.56,,52.04,14,117,913,23,-59,-7.47,35.47,165.63,11711.77,-653,-28.09,,,1306,175,165,13.06,33.36,186.61,13355.46,1644,18.49,,,2203,321,314,20.48,48.32,237.12,17192.62,3137,19.89,,,3212,495,458,23.41,,,,4582,22.35,,,571,103,88,18.05,35.13,179.58,14893.55,880,21.09,,,539,68,73,16.13,34.23,184.97,15617.97,724,24.71,,,631,91,88,20.48,48.32,237.12,17192.62,874,19.89,,,722,100,113,22.25,48.49,219.6,18324.21,1132,20.47,,,794,127,109,,,,,1132,90.48,,
