회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
에스엘,005850,자동차부품,15142,46448520,32600,4.51,4.31,0.78,2.76,13.94,0,124,30011,1105,962,6.63,69.08,120.29,6207.21,2001,15.59,1.6,23.88,41745,1979,1659,9.87,71.84,117.83,7037.94,3290,6.98,2.61,17.86,48388,3862,3493,18.83,61.05,133.96,8310.37,7223,4.94,2.52,12.35,54722,4491,3681,16.87,,,,7571,4.39,,,12108,1041,942,12.63,71.66,130.97,7282.17,1941,6.36,,,12544,1339,1092,14.55,65.03,133.42,7766.27,2241,6.85,,,11828,828,637,15.36,61.38,129.63,8086.35,1314,5.56,,,11908,654,821,18.83,61.05,133.96,8310.37,1727,4.94,2.52,51.68,13100,1092,,,,,,1787,18.61,,
BGF,027410,화학,3771,95716791,3940,4.85,,0.23,3.05,21.61,0,120,1502,379,360,4.26,14.36,365.88,1571.03,685,7.73,2.08,16.06,4350,612,262,1.5,11.6,390.62,1574.69,247,17.45,2.56,44.58,4432,705,691,4.81,14.24,281.68,1639.35,813,4.69,3.15,14.76,4680,850,680,,,,,648,5.96,,,992,115,125,2.74,12.03,413.62,1576.95,133,9.66,,,1114,191,183,3.01,12.57,383.8,1606.49,296,7.62,,,1092,239,238,3.43,14.37,276.02,1630.99,245,5.93,,,1234,161,145,4.81,14.24,281.68,1639.35,138,4.69,3.15,86.66,1330,220,,,,,,198,19.45,,
한국컴퓨터,054040,디스플레이장비및부품,1093,16071290,6800,5.04,,0.68,4.41,23.46,0,116,1945,138,152,13.99,24.9,187.55,1378.56,945,5.43,3.51,18.13,4237,188,168,13.85,23.3,198.7,1554.5,1043,3.93,6.1,22.24,3717,238,217,16.12,22.1,244.32,1768.58,1350,3.91,5.68,19.55,4130,278,230,16.49,,,,1571,4.28,,,739,20,25,13.69,20.13,210.75,1540.49,158,4.2,,,1126,41,43,14.89,30.87,166.37,1589.15,268,3.68,,,958,97,88,13.75,15.83,304.51,1691.06,550,4.7,,,895,80,60,16.12,22.1,244.32,1768.58,374,3.91,5.68,70.52,,,,,,,,,,,
태광,023160,기계,3421,26500000,12910,6.19,,0.64,1.32,22.46,10,125,1884,-31,-50,-1.18,8.81,438.91,3195.05,-189,-40.46,0.65,-25.78,1851,135,185,3.55,11.5,371.24,3288.01,574,18.89,0.92,17,2497,454,368,7.81,13.31,289.48,3619.73,1350,11.93,1.06,12.29,3100,600,500,,,,,1849,6.71,,,763,165,72,7.81,13.31,289.48,3619.73,276,11.93,1.06,60.2,839,199,209,10.14,11.7,335.06,3733.52,732,9.45,,,822,181,176,10.86,11.03,350.37,3862.37,643,9.32,,,746,122,116,11.08,9.83,341.2,3948.87,434,8.63,,,,,,,,,,,,,
휴스틸,005010,철강,2866,56188075,5100,1.34,,0.27,4.9,17.19,20,134,3656,177,86,2.13,45.76,107.6,857.12,206,6.44,2.74,15.42,6165,632,380,7.3,51.97,98.95,932.9,897,2.95,5.49,16.51,10309,2892,2272,29.59,32.69,225.7,1150.81,5193,0.98,6.9,8.66,,,,,,,,,,,,3164,1229,1013,29.59,32.69,225.7,1150.81,2222,0.98,6.9,19.42,2476,684,489,32.5,37.18,211.83,1204.83,870,1.24,,,1984,336,65,25.51,34.59,198.75,1217.79,116,1.44,,,1713,490,434,22.14,29.09,210.55,1296.7,773,1.38,,,,,,,,,,,,,
코윈테크,282880,기계,2955,10825983,27300,33.29,,1.8,0.89,22.46,4,115,454,6,25,2.51,28.03,258.98,2207.77,247,87.82,0.83,70.25,1063,66,74,5.47,57.7,192.44,2253.57,540,54.53,0.31,16.45,2012,148,100,4.3,84.15,124.83,2622.22,479,46.67,0.42,19.1,3520,372,282,10.04,,,,1344,20.58,,,459,60,6,4.3,84.15,124.83,2622.22,31,46.67,0.42,293.91,694,72,84,5.75,79.37,122.32,2706.5,474,44.34,,,957,126,31,7.7,79.56,142.72,2754.27,295,38.56,,,812,48,60,6.28,49.15,178.82,3033.73,26,42.47,,,1058,126,98,,,,,547,50.51,,
DB손해보험,005830,손해보험,73349,70800000,103600,4.77,5.2,0.61,5.12,5.91,11,120,201106,7223,5545,8.98,824.64,,18677.94,7801,5.61,5.03,23.92,208806,11084,8729,13.38,861.78,,19349.04,12281,4.4,6.48,24.17,228608,13331,9880,16.45,1080.9,,15759.18,13885,4.7,7.04,28.1,,21124,,,,,,22629,3.52,,,47259,1861,1315,16.36,1080.9,,15759.18,1845,4.7,7.04,211.42,52009,6782,5274,16.24,492.59,,26594.78,7427,4.32,,,47040,6300,4695,18.39,461.99,,28137.37,6618,3.77,,,52585,5355,4126,19.99,437.9,,29432.19,5819,4.12,,,,,,,,,,,,,
SNT홀딩스,036530,자동차부품,3465,16303886,21250,3.97,,0.29,3.76,13.94,0,108,14041,1256,1518,8.56,33.27,256.24,11463.33,4736,3.72,3.98,13.11,16295,1447,1156,5.31,40.86,194.72,12057.69,3153,4.98,4.46,19.69,18957,1790,1643,8.5,38.35,222,13001.03,5357,3.23,4.63,13.24,20430,1900,1710,8.03,,,,5459,3.76,,,4498,409,503,6.45,38.69,206.14,12296.95,1580,3.98,,,4546,434,444,6.96,42.56,193.44,12571.64,1401,3.88,1.81,19,4857,483,511,6.26,41.98,192.55,12840.64,1641,3.85,,,5057,463,185,8.5,38.35,222,13001.03,736,3.23,2.89,60.23,,,,,,,,,,,
애경산업,018250,화장품,4307,26409935,16310,8.84,8.36,1.08,3.56,99.46,0,108,5739,244,157,4.63,24.63,242,1231.34,595,31.91,1.05,33.33,6104,390,167,4.7,34.45,167.42,1293.45,627,33.34,1.48,49.07,6689,619,486,13.08,24.44,204.86,1440.14,1846,10.09,3.11,30.58,7274,694,516,12.6,,,,1951,8.33,,,1571,154,164,7.5,31.66,184.89,1324.59,619,18.04,,,1621,166,121,9.67,34.78,165.74,1370.6,460,18.32,,,1739,184,128,9.34,32.93,176.99,1419.16,486,16.06,,,1758,116,74,13.08,24.44,204.86,1440.14,281,10.09,3.11,200.76,1696,166,,,,,,530,30.67,,
링네트,042500,IT서비스,998,15356878,6500,7.8,,0.84,1.54,25.03,1,108,2148,106,87,12.1,75.33,119.94,1015.64,565,11.85,,,2040,109,101,12.73,92.89,76.76,1149.26,655,6.25,,,2177,163,128,14.25,58.08,135.5,1311.89,833,5.16,2.33,9.68,3050,260,,,,,,1322,4.77,,,527,22,20,11.58,75.66,107.18,1176.67,131,8.46,,,510,15,4,10.26,55.19,161.72,1184.48,24,8.16,,,473,56,40,13.18,58.92,139.4,1236.85,262,5.57,,,667,71,64,14.25,58.08,135.5,1311.89,416,5.16,2.33,19.37,,,,,,,,,,,
