회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
영원무역홀딩스,009970,섬유/의류/신발/호화품,8740,13635592,64100,2.27,,0.37,,9.28,0,145,27380,2990,2277,9.6,47.12,184.99,15979.95,8870,5.43,2.07,9.59,28510,3408,2345,7.64,42.62,244.08,18667.24,7690,4.91,3.18,13.28,32405,5705,4468,14.72,37.1,319.35,21701.46,16192,2.89,4.28,10.51,42922,9542,7863,20.81,,,,27960,2.25,,,9860,2028,1402,14.72,37.1,319.35,21701.46,5497,2.89,,,8902,1809,1412,16.38,42.12,254.2,22360.47,4997,2.9,,,10478,2293,2144,19.39,42.21,236.41,23856.85,7482,2.02,,,12255,2963,2843,21.43,42.03,251.94,25903.54,10233,1.81,,,11284,2475,1948,,,,,6732,9.36,,
영원무역,111770,섬유/의류/신발/호화품,19475,44311468,43950,3.43,3.31,0.68,,9.28,0,143,23883,2376,1743,9.82,57.67,154.21,6954.16,3753,9.13,1.17,10.55,24664,2597,1824,8.03,52.37,199.46,7976.94,3332,9.51,1.58,14.85,27925,4425,3343,14.71,45.74,266.69,9223.27,6727,6.49,2.29,14.72,37592,7831,6477,23.53,,,,13258,3.28,,,7515,1233,771,14.71,45.74,266.69,9223.27,1613,6.49,,,7664,1459,1114,16.71,51.23,219.77,9471.3,2230,6.07,,,9456,2081,1896,20.46,52.78,193.4,10243.28,3860,3.73,,,11623,2759,2460,22.63,51.2,214.19,11265.47,5111,3.48,,,8826,1550,998,,,,,2091,20.83,,
세아제강,306200,철강,3798,2836300,133900,2.36,,0.47,4.48,4.01,0,134,12272,459,249,4.42,80.11,103.88,3927.77,8762,6.95,3.28,22.83,11505,536,331,5.67,76.74,118.37,4114.97,11656,7.76,2.76,21.17,14974,1319,914,14.34,80.73,110.84,4709.69,32223,2.97,3.66,10.72,19292,2531,1938,25.12,,,,68311,2.01,,,4522,438,241,14.34,80.73,110.84,4709.69,8505,2.97,,,4488,599,459,18.85,81.68,105.62,4963.17,16201,2.86,,,4808,683,553,21.7,82.37,130.68,5349.09,19498,2.82,,,4469,496,358,22.05,74.11,101.38,5599.18,12616,2.6,,,5526,753,566,,,,,19973,6.86,,
DB하이텍,000990,반도체와반도체장비,20801,44398588,46850,3.43,3.3,1.29,,8.5,5,135,8074,1813,1046,17.39,68.91,137.87,226.34,2351,11.74,1.27,14.53,9359,2393,1660,23.07,48.33,90.75,293.62,3730,13.67,0.69,9.16,12147,3991,3169,33.35,40.13,137.31,431.38,7119,10.21,0.62,6.17,17183,8118,6312,44.73,,,,14181,3.28,,,3679,1381,1174,33.35,40.13,137.31,431.38,2637,10.21,,,3950,1815,1587,41.26,35.37,208.5,493.89,3565,7.79,,,4357,2132,1609,46.17,30.69,248.9,566.23,3616,4.2,,,4474,2204,1708,47.51,30.27,146.18,642.99,3838,2.74,,,4380,1952,,,,,,3145,14.77,,
ISC,095340,반도체와반도체장비,6307,17399471,36250,10.77,,2.17,1.66,8.5,2,125,877,20,32,2.57,16.84,151.56,2390.44,308,31.7,0.51,16.01,1218,181,55,3.68,38.64,105.1,2471.15,445,60.62,0.56,33.11,1447,375,301,15.3,17.59,231.27,2925.7,1857,19.04,0.57,10.45,1864,671,560,22.38,,,,3223,11.09,,,349,84,59,15.3,17.59,231.27,2925.7,378,19.04,,,417,159,138,17.68,24.05,344.45,2990.79,808,12.86,,,547,226,210,20.27,29.14,185.05,3229.08,1193,11.11,,,490,158,167,24.12,26.81,207.39,3421.97,964,9.57,,,410,127,,,,,,437,81.85,,
LX세미콘,108320,디스플레이장비및부품,15419,16264300,94800,5.32,8.37,1.63,4.75,15.92,6,127,8671,473,385,8.39,33.36,276.23,5711.99,2370,16.8,2.09,35.03,11619,942,725,14.44,41.02,236.22,6451.03,4459,13.05,2.32,30.27,18988,3696,2964,44.49,46.51,228.27,9741.4,18225,9.18,3.23,29.63,22056,3604,2787,30.91,,,,17139,4.51,,,5386,858,682,44.49,46.51,228.27,9741.4,4196,9.18,,,5851,1279,973,50.01,65.71,186.78,9857.41,5980,6.89,,,5992,1096,830,46.04,46.83,203.94,10962.78,5105,4.41,,,4786,604,411,34.41,51.48,158.06,11512.33,2526,4.27,,,5354,585,336,,,,,2588,29.86,,
송원산업,004430,화학,4538,24000000,18910,3.03,,0.67,,17.05,20,141,8143,593,350,8.25,105.76,68.51,3517.82,1448,10.74,0.96,10.36,8078,680,284,6.17,92.27,73.9,3798.32,1144,13.94,0.75,10.49,9982,1057,712,14.43,105.36,65.79,4440.31,3011,7.12,0.93,6.64,13789,2044,1528,24.74,,,,6367,3.08,,,2835,366,261,14.43,105.36,65.79,4440.31,1088,7.12,,,3384,572,434,20.14,104.14,70.2,4760.27,1809,5.12,,,3427,543,387,23.26,99.71,68.75,5091.28,1611,3.69,,,3507,493,414,25.14,92.49,74.45,5430.77,1724,2.56,,,3467,436,293,,,,,,,,
LX인터내셔널,001120,무역회사와판매업체,12985,38760000,33500,2.19,2.84,0.5,8.96,4.42,32,153,105309,1348,-149,2.48,214.86,89.52,515.19,737,20.41,1.99,40.59,112826,1598,3616,23.71,206.88,98.61,664.66,7678,3.22,1.62,4.83,166865,6562,5403,22.49,182.98,95.98,837.29,9032,2.93,8.7,23.63,191748,10141,8452,28.15,,,,15038,2.3,,,45506,2076,1533,22.49,182.98,95.98,837.29,2378,2.93,,,49181,2457,2231,26.86,199.13,102.21,874.22,3982,3.01,,,50200,2894,2309,29.12,175.92,106.76,955.49,4049,2.41,,,47094,2726,2475,29.18,152.47,121.8,1052.75,4863,2.55,,,44599,2038,1436,,,,,2663,12.97,,
카카오게임즈,293490,게임엔터테인먼트,38845,82298784,47200,7.11,59.9,1.9,,23.26,10,127,3910,350,89,2.64,41.78,224.58,7607.66,197,,,,4955,665,675,12.12,27.75,418.36,12247.51,1379,33.35,,,10125,1119,5202,34.06,77.86,125.98,23164.98,7061,12.89,,,11751,1931,1126,3,,,,788,60.26,,,2867,455,4571,34.06,77.86,125.98,23164.98,6034,12.89,,,2663,421,283,34.51,76.82,110.31,23488.27,174,11.37,,,3388,810,640,35.97,85.98,271.26,22517.8,573,6.67,,,3069,437,113,30.17,82.14,309.99,23970.82,39,6.42,,,2631,269,156,,,,,-47,-1004.11,,
AP시스템,265520,디스플레이장비및부품,3056,15281421,20000,3.19,,1.12,,15.92,10,126,4621,284,95,8.57,268.87,30.16,1426.44,618,54.33,0.15,11.67,5918,463,250,19.78,168.76,91.3,1742.37,1633,15.22,0.48,8.45,5287,643,572,34.68,123.83,164.07,2474.56,3741,6.74,0.95,6.33,5084,783,923,39.12,,,,6040,3.32,,,1742,198,143,34.68,123.83,164.07,2474.56,935,6.74,,,802,115,129,31.96,132.34,130.69,2596.57,847,6.47,,,1217,224,267,36.79,115.11,117.04,2946.24,1748,3.55,,,1478,288,417,42.84,109.59,117.95,3492.28,2730,2.54,,,1585,154,,,,,,694,28.9,,
