회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
세아제강,306200,철강,4266,2836300,150400,2.43,,0.48,3.99,9.28,0,122,11505,536,331,5.67,76.74,118.37,4114.97,11656,7.76,2.76,21.17,14974,1319,914,14.34,80.73,110.84,4709.69,32223,2.97,3.66,10.72,18018,2152,1593,21.12,76.73,129.17,5763.24,56163,2.31,4.63,10.55,18180,2508,1871,20.47,,,,65966,2.28,,,4808,683,553,21.7,82.37,130.68,5349.09,19498,2.82,,,4469,496,358,22.05,74.11,101.38,5599.18,12616,2.6,,,4253,374,223,21.12,76.73,129.17,5763.24,7848,2.31,,,4902,785,620,22.07,78,109.25,6080.72,21868,2.11,,,4488,596,408,,,,,14367,10.47,,
현대차,005380,자동차,441043,211531506,208500,6.34,5.15,0.64,3.36,5.17,22,139,1039976,23947,19246,2.04,174.22,44.87,4909.48,5144,37.33,1.56,55.15,1176106,66789,56931,6.84,183.17,45.68,5187.27,17846,11.71,2.39,26.32,1425275,98198,79836,9.36,181.36,51.97,5654.49,26592,5.68,4.64,24.85,1569083,137812,119314,12.8,,,,40492,5.15,,,359999,29798,30848,8.14,182.65,48.01,5417.45,10123,8.01,,,377054,15518,14115,7.81,188.22,49.81,5507.25,4592,7.88,,,385236,33592,17099,9.36,181.36,51.97,5654.49,6154,5.68,,,377787,35927,34194,11.3,181.48,53.7,5744.9,12034,5.61,,,404610,38191,32536,,,,,11024,18.91,,
기아,000270,자동차,356613,402044203,88700,5.53,4.2,0.87,3.95,5.17,11,127,591681,20665,14876,5.05,102.37,82.27,1350.39,3670,17,1.6,26.95,698624,50657,47603,14.69,91.48,95.75,1561.65,11744,7,3.65,25.27,865590,72331,54090,14.57,87.35,75.87,1778.98,13345,4.44,5.9,25.94,989382,111634,85306,19.93,,,,21106,4.2,,,218760,22341,18810,15.08,91.74,97.22,1654.92,4640,5.92,,,231616,7682,4589,12.63,92.59,95.11,1683,1132,6.31,,,231642,26243,20365,14.57,87.35,75.87,1778.98,5025,4.44,,,236907,28740,21198,17.35,93.88,79.51,1807.25,5229,5.05,,,257650,31148,24756,,,,,5991,14.81,,
BGF,027410,화학,3527,95716791,3685,8.21,,0.22,2.99,30.35,10,125,1544,146,179,1.81,7.88,423.53,1512.94,285,17.2,2.25,38.65,1502,379,360,4.26,14.36,365.88,1571.03,685,7.73,2.08,16.06,4350,612,262,1.5,11.6,507.76,1574.69,247,17.45,2.56,44.58,4480,770,570,,,,,564,6.53,,,1111,153,224,3.17,11.41,277.89,1577.15,242,8.04,,,1140,221,195,3.4,10.81,279.54,1593.62,166,5.88,,,1105,148,-84,1.5,11.6,507.76,1574.69,-93,17.45,,,992,115,125,2.74,12.03,413.62,1576.95,133,9.66,,,1150,230,,,,,,178,20.75,,
휴스틸,005010,철강,3647,56188075,6490,1.17,,0.38,5.39,9.28,20,134,3656,177,86,2.13,45.76,107.6,857.12,206,6.44,2.74,15.42,6165,632,380,7.3,51.97,98.95,932.9,897,2.95,5.49,16.51,10309,2892,2272,29.59,32.69,225.7,1150.81,5193,0.98,6.9,8.66,,,,,,,,,,,,2408,719,529,16.51,49.04,138.3,1105.46,1228,1.84,,,2764,678,557,22.35,49.29,162.73,1252.38,1291,1.68,,,3164,1229,1013,29.59,32.69,225.7,1150.81,2222,0.98,,,2476,684,489,32.5,37.18,211.83,1204.83,870,1.24,,,,,,,,,,,,,
영원무역홀딩스,009970,섬유/의류/신발/호화품,10758,13635592,78900,2.29,,0.41,3.87,7.92,3,116,28510,3408,2345,7.64,42.62,244.08,18667.24,7690,4.91,3.18,13.28,32405,5705,4468,14.72,37.1,319.35,21701.46,16192,2.89,4.28,10.51,45339,10022,8981,23.98,37.71,263.22,27827.09,32330,1.9,4.97,8.03,43039,9271,7550,16.33,,,,27722,2.85,,,10478,2293,2144,19.39,42.21,236.41,23856.85,7482,2.02,,,12255,2963,2843,21.43,42.03,251.94,25903.54,10233,1.81,,,13704,2957,2583,23.98,37.71,263.22,27827.09,9618,1.9,,,10120,2129,1863,24.25,43.25,216.59,28728.46,7103,1.86,,,10493,2327,,,,,,,,,
한화,000880,복합기업,24099,74958735,32150,1.9,1.99,0.28,2.33,11.57,28,140,509265,15490,7075,4.61,979.02,63.47,789.51,2009,14.09,2.47,33.27,528361,29279,22821,20.29,825.65,69.91,1184.83,9943,3.16,2.39,7.18,622784,25161,22433,24.47,911.43,69.81,1563.01,13402,1.91,2.92,5.62,636385,39537,31453,24.24,,,,16141,1.99,,,151898,9146,9167,30.44,1166.47,68.5,1177.54,6667,2.26,,,168414,9214,8549,41.78,1284.1,65.57,1299.36,5553,1.67,,,170991,2137,1811,24.47,911.43,69.81,1563.01,770,1.91,,,144024,13738,11553,22.44,488.82,65.13,1719.73,3932,1.55,,,157792,10436,11010,,,,,4616,6.96,,
에스엘,005850,자동차부품,18905,46448520,40700,9.28,7.28,1.1,1.47,11.56,0,112,25050,932,642,4.74,64.12,123.62,5940.88,1362,11.93,3.08,35.06,30011,1105,962,6.63,69.08,120.29,6207.21,2001,15.59,1.6,23.88,41745,1979,1659,9.87,71.84,117.83,7037.94,3290,6.98,2.61,17.86,50670,3370,2660,14.86,,,,5590,7.28,,,10160,784,608,6.77,71.66,105.68,6873.16,1264,14.31,,,10714,485,437,7.92,75.63,101.31,7006.25,809,12.15,,,12424,300,208,9.87,71.84,117.83,7037.94,369,6.98,,,12108,1041,942,12.63,71.66,130.97,7282.17,1941,6.36,,,13133,1004,880,,,,,1549,26.27,,
두산밥캣,241560,기계,61152,100249166,61000,8.14,7.57,1.14,2.21,28.39,10,122,42821,3939,2475,6.15,70.86,117.69,9146.38,2468,12.01,,,58162,5953,3859,9.19,98.57,98.7,9238.4,3849,10.59,2.94,31.17,86219,10716,6441,13.78,84.07,69.58,10254.75,6425,5.39,3.9,21.01,98459,13115,8199,15.23,,,,8179,7.46,,,21803,3050,1383,9.14,95.81,62.28,9461.61,1380,7,,,22663,3022,1119,10.21,96.78,64.59,9560.93,1116,6.03,,,23839,2508,2841,13.58,84.07,69.58,10254.75,2834,5.47,,,24051,3697,2075,15.2,86.02,76.93,10498.45,2070,5.91,,,25667,3605,,,,,,2390,25.53,,
선진뷰티사이언스,086710,화장품,1113,12203280,9120,5.38,,1.63,0.22,152.9,10,121,464,36,30,8.81,184,95.61,1198.77,272,,,3.66,487,37,16,3.07,121.53,152.89,1430.04,99,71.66,0.14,10.23,643,53,201,35.37,102.75,131,986.1,1609,4.18,0.3,1.22,806,103,94,12.37,,,,697,13.09,,,160,13,14,3.76,123.32,103.87,710.11,94,38.66,,,144,8,4,3.81,136.81,101.01,719.21,45,33.94,,,176,12,167,35.37,102.75,131,986.1,1334,4.18,,,204,30,30,35.94,88.69,115.4,1026.48,222,4.02,,,210,35,,,,,,,,,
